Time [s],Altitude [ft],Pressure [mbar],Velocity [ft/s],Temperature [F],Events,Voltages [V]
0.00,-7.047148E-05,861.60,0,101.12, -,8.245819
0.05,-7.047148E-05,861.60,0,101.12, -,8.245819
0.10,3.112198,861.50,2.952381,101.12, -,8.245819
0.15,6.224759,861.40,5.904762,101.12, -,8.245819
0.20,12.45266,861.20,11.85714,101.12, -,8.245819
0.25,18.68173,861.00,17.80952,101.12, -,8.245819
0.30,18.68173,861.00,17.80952,101.12, -,8.245819
0.35,24.91197,860.80,23.76191,101.12, -,8.245819
0.40,31.14339,860.60,29.71428,101.12, -,8.245819
0.45,37.37408,860.40,35.66667,101.12, -,8.245819
0.50,46.72611,860.10,44.57143,101.12, -,8.245819
0.55,52.95973,859.90,50.52381,101.12, -,8.265266
0.60,65.4343,859.50,62.38095,101.12, -,8.265266
0.65,93.51832,858.60,89.14286,101.12, -,8.265266
0.70,115.3758,857.90,109.9524,101.12, -,8.265266
0.75,143.5023,857.00,136.7619,101.12, -,8.265266
0.80,177.9098,855.90,169.5238,101.12, -,8.265266
0.85,237.4276,854.00,226.1905,101.12, -,8.265266
0.90,278.2112,852.70,265.0476,101.12, -,8.265266
0.95,325.3322,851.20,309.9048,101.12, -,8.265266
1.00,356.7836,850.20,339.8571,101.12, -,8.265266
1.05,385.1163,849.30,366.8571,101.12, -,8.265266
1.10,397.7148,848.90,378.8571,101.12, -,8.265266
1.15,394.5652,849.00,372.9048,101.12, -,8.265266
1.20,385.1163,849.30,360.9524,101.12, -,8.265266
1.25,369.3733,849.80,340,101.12, -,8.265266
1.30,353.6379,850.30,319.0476,101.12, -,8.265266
1.35,347.3455,850.50,313.0476,101.12, -,8.265266
1.40,359.9315,850.10,319.0952,101.12, -,8.265266
1.45,388.265,849.20,340.1429,101.12, -,8.265266
1.50,422.9303,848.10,367.1905,100.94, -,8.245819
1.55,463.9437,846.80,397.3333,100.94, -,8.245819
1.60,492.3665,845.90,418.4286,100.94, -,8.245819
1.65,517.6544,845.10,430.6667,100.94, -,8.245819
1.70,539.7943,844.40,425,100.94, -,8.245819
1.75,571.4507,843.40,434.3333,100.94, -,8.245819
1.80,606.3091,842.30,440.7143,100.94, -,8.245819
1.85,647.5511,841.00,447.2381,100.94, -,8.245819
1.90,679.3112,840.00,420.8095,100.94, -,8.245819
1.95,711.102,839.00,412.2381,100.94, -,8.245819
2.00,742.9234,838.00,397.6667,100.94, -,8.245819
2.05,781.1501,836.80,404.1429,100.94, -,8.245819
2.10,819.4212,835.60,413.5714,100.94, -,8.245819
2.15,864.1255,834.20,444.1429,100.94, -,8.245819
2.20,902.4932,833.00,483.6667,100.94, -,8.245819
2.25,940.9058,831.80,529.2381,100.94, -,8.245819
2.30,976.1555,830.70,577.8095,100.94, -,8.245819
2.35,1014.654,829.50,629.4762,100.94, -,8.245819
2.40,1049.983,828.40,669.1429,100.94, -,8.245819
2.45,1098.221,826.90,703.0952,100.94, -,8.245819
2.50,1140.087,825.60,715.9524,100.94, -,8.245819
2.55,1188.457,824.10,729,100.94, -,8.245819
2.60,1236.899,822.60,736.0952,100.94, -,8.245819
2.65,1285.413,821.10,755.2381,100.94, -,8.245819
2.70,1327.516,819.80,771.2381,100.94, -,8.245819
2.75,1372.917,818.40,793.381,100.94, -,8.245819
2.80,1418.383,817.00,806.5238,100.94, -,8.245819
2.85,1467.166,815.50,819.8095,100.94, -,8.245819
2.90,1512.763,814.10,823.9524,100.94, -,8.245819
2.95,1561.687,812.60,840.2857,100.94, -,8.245819
3.00,1597.61,811.50,844.1905,100.94, -,8.245819
3.05,1643.39,810.10,857.5238,100.94, -,8.245819
3.10,1685.955,808.80,861.619,100.94, -,8.245819
