Time,Altitude,Pressure,Velocity,Temperature,Events,Voltages
0.00,-0.0001065967,861.50,0,100.94, -,8.265266
0.05,3.112454,861.40,2.952381,100.94, -,8.265266
0.10,6.227209,861.30,5.904762,100.94, -,8.265266
0.15,9.340355,861.20,8.857142,100.94, -,8.265266
0.20,15.56943,861.00,14.80952,100.94, -,8.265266
0.25,21.79967,860.80,20.76191,100.94, -,8.265266
0.30,24.91428,860.70,23.71428,100.94, -,8.265266
0.35,28.03109,860.60,26.66667,100.94, -,8.265266
0.40,34.26177,860.40,32.61905,100.94, -,8.265266
0.45,40.49553,860.20,38.57143,100.94, -,8.265266
0.50,49.84742,859.90,47.47619,100.94, -,8.265266
0.55,56.08412,859.70,53.42857,100.94, -,8.265266
0.60,65.44041,859.40,62.33333,100.94, -,8.265266
0.65,90.40601,858.60,86.09524,100.94, -,8.265266
0.70,112.2635,857.90,106.9048,100.94, -,8.265266
0.75,140.39,857.00,133.7143,100.94, -,8.265266
0.80,171.6688,856.00,163.5238,100.94, -,8.265266
0.85,231.1809,854.10,220.1905,100.94, -,8.265266
0.90,271.9606,852.80,259.0476,100.94, -,8.265266
0.95,315.9329,851.40,300.9048,100.94, -,8.265266
1.00,353.6713,850.20,336.8571,100.94, -,8.265266
1.05,385.1527,849.20,366.8571,100.94, -,8.265266
1.10,404.0571,848.60,381.9048,100.94, -,8.265266
1.15,400.9046,848.70,375.9524,100.94, -,8.265266
1.20,391.4529,849.00,364,100.94, -,8.265266
1.25,375.7055,849.50,343.0476,100.94, -,8.265266
1.30,359.9656,850.00,322.0952,100.94, -,8.265266
1.35,350.5256,850.30,310.1429,100.94, -,8.265266
1.40,356.8192,850.10,313.1905,100.94, -,8.265266
1.45,382.004,849.30,331.2381,100.94, -,8.265266
1.50,413.5124,848.30,355.2857,100.76, -,8.245819
1.55,457.6735,846.90,388.4286,100.76, -,8.245819
1.60,489.2542,845.90,412.5714,100.76, -,8.245819
1.65,514.5421,845.10,427.7619,100.76, -,8.245819
1.70,536.682,844.40,425.0952,100.76, -,8.245819
1.75,565.1722,843.50,431.4286,100.76, -,8.245819
1.80,596.856,842.50,434.8095,100.76, -,8.245819
1.85,641.2653,841.10,447.2857,100.76, -,8.245819
1.90,673.0223,840.10,420.8571,100.76, -,8.245819
1.95,704.81,839.10,412.2857,100.76, -,8.245819
2.00,736.6283,838.10,400.7143,100.76, -,8.245819
2.05,774.8494,836.90,401.1429,100.76, -,8.245819
2.10,809.9269,835.80,404.5714,100.76, -,8.245819
2.15,854.6226,834.40,429.1429,100.76, -,8.245819
2.20,892.9828,833.20,468.6667,100.76, -,8.245819
2.25,934.5895,831.90,517.2857,100.76, -,8.245819
2.30,969.8378,830.80,565.8571,100.76, -,8.245819
2.35,1008.333,829.60,617.5238,100.76, -,8.245819
2.40,1043.658,828.50,660.1905,100.76, -,8.245819
2.45,1085.456,827.20,694,100.76, -,8.245819
2.50,1127.307,825.90,709.8571,100.76, -,8.245819
2.55,1178.891,824.30,729,100.76, -,8.265266
2.60,1224.091,822.90,730,100.76, -,8.265266
2.65,1275.828,821.30,749.1905,100.76, -,8.265266
2.70,1317.922,820.00,765.1905,100.76, -,8.265266
2.75,1363.317,818.60,787.3333,100.76, -,8.265266
2.80,1408.772,817.20,803.4762,100.76, -,8.265266
2.85,1457.545,815.70,819.7143,100.76, -,8.265266
2.90,1499.874,814.40,817.7619,100.76, -,8.265266
2.95,1552.047,812.80,837.1905,100.76, -,8.265266
3.00,1591.231,811.60,844.2381,100.76, -,8.265266
3.05,1633.733,810.30,854.4286,100.76, -,8.265266
3.10,1673.015,809.10,855.4762,100.76, -,8.265266
3.15,1718.903,807.70,865.7619,100.76, -,8.265266
3.20,1755.004,806.60,857.5714,100.76, -,8.265266
3.25,1797.719,805.30,861.7143,100.76, -,8.265266
3.30,1837.199,804.10,859.7143,100.76, -,8.265266
3.35,1876.724,802.90,863.8095,100.76, -,8.265266
3.40,1916.3,801.70,864.8571,100.76, -,8.265266
3.45,1965.836,800.20,878.381,100.76, -,8.265266
3.50,2002.212,799.10,873.2381,100.76, -,8.245819
3.55,2038.626,798.00,868.0476,100.76, -,8.245819
3.60,2068.451,797.10,847.3333,100.76, -,8.245819
3.65,2098.301,796.20,832.7143,100.76, -,8.245819
3.70,2121.538,795.50,805.5714,100.76, -,8.245819
3.75,2148.114,794.70,790.8095,100.76, -,8.245819
3.80,2174.712,793.90,772.9048,100.76, -,8.245819
3.85,2207.99,792.90,761.3333,100.76, -,8.245819
3.90,2234.639,792.10,740.2857,100.76, -,8.245819
3.95,2261.308,791.30,725.3333,100.76, -,8.245819
4.00,2287.998,790.50,701.0952,100.76, -,8.245819
4.05,2318.052,789.60,692.381,100.76, -,8.245819
4.10,2341.445,788.90,674.1905,100.76, -,8.245819
4.15,2371.548,788.00,665.4286,100.76, -,8.245819
4.20,2391.631,787.40,640.8571,100.76, -,8.245819
4.25,2418.43,786.60,632,100.76, -,8.245819
4.30,2441.895,785.90,613.6667,100.76, -,8.245819
4.35,2475.448,784.90,608,100.76, -,8.245819
4.40,2502.316,784.10,595.9048,100.76, -,8.245819
4.45,2532.567,783.20,587,100.76, -,8.245819
4.50,2556.116,782.50,562.2381,100.76, -,8.245819
4.55,2576.313,781.90,546.8095,100.76, -,8.245819
4.60,2599.894,781.20,534.619,100.76, -,8.245819
4.65,2626.864,780.40,531.8571,100.76, -,8.245819
4.70,2653.858,779.60,529.1429,100.76, -,8.245819
