Uptime,Year,Month,Day,Hour,Minute,Second,Servo Position (deg),Scale Value (grams),MMA8451 Raw Count X,MMA8451 Raw Count Y,MMA8451 Raw Count Z,MMA8451 Acceleration X (m/s^2),MMA8451 Acceleration Y (m/s^2),MMA8451 Acceleration Z (m/s^2),MMA8451 Orientation,SABOT Switch 1,SABOT Switch 2,SABOT Switch 3,Phototransistor,NTC Thermistor,MS5607 Altitude (meters),MS5607 Temperature (Deg C),MS5607 Pressure (mBar),SHTC3 Temperature (Deg C),SHTC3 Humidity (%RH),LIS3MDL Raw Count X,LIS3MDL Raw Count Y,LIS3MDL Raw Count Z,LIS3MDL Field X (uTesla),LIS3MDL Field Y (uTesla),LIS3MDL Field Z (uTesla),LSM6DSL Acceleration X (g),LSM6DSL Acceleration Y (g),LSM6DSL Acceleration Z (g),LSM6DSL Gyro X (dps),LSM6DSL Gyro Y (dps),LSM6DSL Gyro Z (dps),USB Detect,Logical Battery Voltage (V),Logical Battery Shunt (mV),Logical Battery Current (mA),Servo Battery Voltage (V),Servo Battery Shunt (mV),Servo Battery Current (mA),COTS Battery Voltage (V),COTS Battery Shunt (mV),COTS Battery Current (mA),Log Count,Log Time (ms)
40574,2000,1,3,18,12,3,83,106.53,122,9,-1043,1.19,0.08,-10.05,1,1,1,0,64,422,1461.21,31.36,862.01,31.16,19.38,28015,12730,-12129,-422.32,0.48,0,0.03,0.11,-0.95,-2.99,1.34,-0.43,1,4.12,7.22,71.8,3.94,7.17,144.2,4.18,0.67,6.6,3,209
50608,2000,1,3,18,12,13,83,106.54,121,15,-1047,1.19,0.11,-10.06,1,1,1,0,56,418,1462.57,31.82,862.09,31.22,19.33,-32145,12629,8318,-422.32,0.48,0,0.03,0.12,-0.94,-3.11,1.22,0,1,4.11,7.16,72,3.92,7.17,209.2,4.18,0.59,6,6,211
60618,2000,1,3,18,12,23,83,105.71,134,14,-1049,1.28,0.11,-10.07,1,1,1,0,53,415,1462.95,31.95,862.11,31.27,18.83,-27025,12498,20534,-422.32,0.48,0,0.03,0.12,-0.94,-2.99,1.34,-0.43,1,4.11,7.16,72.1,3.86,7.19,373.4,4.18,0.61,6,9,213
70631,2000,1,3,18,12,33,83,108.63,113,-19,-1049,1.08,-0.24,-9.97,7,0,1,0,53,412,1464.15,32.1,862.07,31.31,18.43,-23185,12100,25394,-422.32,,0,0.02,0.14,-0.94,-3.05,1.34,-4.09,1,4.12,7.17,71.4,3.85,7.17,299.2,4.19,0.71,6.9,12,168
80660,2000,1,3,18,12,43,83,114.58,150,10,-1045,1.45,0.13,-10.02,7,0,1,0,56,410,1465.16,32.2,862.02,31.36,17.89,-18833,11604,6608,-422.32,0.48,0,0.02,0.11,-0.95,-2.99,1.22,-0.55,1,4.12,7.13,71.7,3.89,7.14,285.6,4.18,0.61,6.1,15,166
90671,2000,1,3,18,12,53,83,95.38,134,0,-1054,1.22,0.02,-10.05,7,0,1,0,0,408,1465.38,32.25,862.02,31.43,17.52,-11665,11307,-15393,-422.32,0.48,0,0.02,0.12,-0.94,-2.99,1.22,-0.73,1,4.11,7.11,72,3.84,7.19,215.1,4.18,0.63,6.1,18,209
100691,2000,1,3,18,13,3,83,104.11,143,7,-1048,1.35,0.07,-10.03,7,0,1,0,39,406,1464.98,32.38,862.11,31.49,17.51,-6545,11306,21720,-422.32,0.48,0,0.03,0.12,-0.94,-2.99,1.28,-0.85,1,4.11,7.13,71.8,3.9,7.19,309.5,4.18,0.64,6.4,21,168
1088729192,2000,1,3,18,13,13,83,93.29,128,7,-1051,1.24,0.06,-10.04,7,0,1,0,63,404,1466.01,32.41,862.03,31.55,17.36,-145,11489,17011,-422.32,0.48,0,0.02,0.12,-0.94,-3.05,1.28,-0.12,1,4.11,7.15,71.8,3.86,7.15,320.9,4.18,0.56,5.7,24,209
120717,2000,1,3,18,13,23,83,104.07,128,5,-1045,1.24,0.09,-10.02,7,0,1,0,60,403,1466.65,32.48,862,31.61,17.13,5488,11020,16092,-422.32,0.48,0,0.02,0.12,-0.94,-2.99,1.28,-0.31,1,4.12,,71.3,3.92,7.15,249.3,4.18,0.64,6.6,27,209
130721,2000,1,3,18,13,33,83,102.79,131,12,-1045,1.27,0.08,-10.04,7,0,1,0,39,401,1466.12,32.56,862.09,31.66,17.43,9584,11465,9377,-422.32,0.48,0,0.02,0.12,-0.94,-2.99,1.28,0.06,1,4.11,7.21,71.7,3.9,7.16,272.1,4.18,0.64,6.1,30,211
140746,2000,1,3,18,13,43,83,103.49,137,10,-1049,1.38,0.11,-10.03,7,0,1,0,61,400,1467.53,32.66,862,31.72,17.12,15728,11059,-11049,-422.32,0.48,0,0.02,0.11,-0.94,-2.99,1.22,0,1,4.11,7.11,72,3.82,7.2,198,4.18,0.67,6.9,33,166
150763,2000,1,3,18,13,53,83,103.78,126,-5,-1049,1.19,0.02,-10.01,7,0,1,0,63,399,1467.66,32.72,862.02,31.74,17.05,18032,11041,7590,-422.32,0.48,0,0.02,0.12,-0.94,-3.05,1.28,-1.16,1,4.11,7.15,71.6,3.86,7.16,267.6,4.18,0.62,6.2,36,166
160792,2000,1,3,18,14,3,83,101.02,132,13,-1046,1.31,0.05,-10.02,7,0,1,0,36,398,1466.49,32.74,862.14,31.8,17,23152,11039,-19063,-422.32,0.48,0,0.03,0.13,-0.94,-2.99,1.16,-0.98,1,4.11,7.15,71.9,3.79,7.16,216.6,4.18,0.61,6.2,39,209
170807,2000,1,3,18,14,13,83,104.59,131,5,-1048,1.25,0.05,-10.01,7,0,1,0,59,397,1467.41,32.81,862.08,31.81,16.95,24688,11009,23142,-422.32,0.48,0,0.02,0.12,-0.94,-2.99,1.28,-0.24,1,4.11,7.19,71.4,3.95,7.14,217.9,4.18,0.66,6.7,42,209
180822,2000,1,3,18,14,23,83,95.4,124,8,-1047,1.15,0.11,-10.04,7,0,1,0,60,396,1468.26,32.87,862.03,31.84,16.99,27248,11226,24450,-422.32,0.48,0,0.03,0.12,-0.94,-3.05,1.28,-0.18,1,4.11,7.12,71.9,3.89,7.18,263,4.18,0.63,6.1,45,206
190832,2000,1,3,18,14,33,83,104.07,129,4,-1052,1.24,0.09,-10,7,0,1,0,38,395,1467.48,32.97,862.15,31.92,16.88,-31120,11110,5431,-422.32,0.48,0,0.02,0.12,-0.94,-2.99,1.34,-0.06,1,4.11,7.21,72,3.84,7.16,251.4,4.18,0.67,6.6,48,164
200837,2000,1,3,18,14,43,83,92.29,119,7,-1043,1.22,0.11,-10.05,7,0,1,0,59,394,1468.26,32.99,862.08,31.96,16.77,-26512,10810,-2572,-422.32,0.48,0,0.02,0.12,-0.94,-3.05,1.16,-0.12,1,4.11,7.15,71.6,3.92,7.14,276.5,4.18,0.62,6.2,51,209
210851,2000,1,3,18,14,53,83,105.25,125,9,-1046,1.19,0.14,-10.03,7,0,1,0,63,393,1468.88,33.08,862.06,32.01,16.91,-21648,11180,1868,-422.32,0.48,,0.03,0.13,-0.94,-3.05,1.28,-0.06,1,4.12,7.12,71.7,3.84,7.16,211.2,4.18,0.62,6,54,166
