,timestamp,humidity,temperature,grim_voltage,grim_current,load_cell_voltage,load_cell_current,bat_voltage,bat_current
0,13455154,30.4599609375,35.43000030517578,3257.5,32.5,5002.5,66.25,8042.5,317.5
1,13456154,30.921875,35.40999984741211,3262.5,28.75,5003.75,85.0,7992.5,443.75
2,13457154,30.185546875,35.40999984741211,3263.75,21.25,5002.5,65.0,8005.0,403.75
3,13458154,29.38671875,35.36000061035156,3265.0,21.25,5002.5,65.0,7987.5,440.0
4,13459154,29.0078125,35.380001068115234,3266.25,21.25,5003.75,65.0,8003.75,402.5
5,13460154,28.4248046875,35.36000061035156,3263.75,21.25,5002.5,67.5,8008.75,381.25
6,13461154,27.3310546875,35.349998474121094,3265.0,21.25,5002.5,66.25,8012.5,456.25
7,13462154,27.44921875,35.34000015258789,3255.0,33.75,5003.75,66.25,8013.75,417.5
8,13463154,26.462890625,35.33000183105469,3265.0,22.5,5003.75,88.75,7985.0,450.0
9,13464154,26.4140625,35.310001373291016,3261.25,25.0,5002.5,66.25,8005.0,480.0
10,13465154,26.818359375,35.31999969482422,3263.75,22.5,5003.75,65.0,7987.5,348.75
11,13466154,25.998046875,35.310001373291016,3263.75,41.25,5002.5,66.25,8001.25,396.25
12,13467154,25.33203125,35.310001373291016,3262.5,23.75,5003.75,86.25,7993.75,326.25
13,13468154,24.951171875,35.310001373291016,3263.75,27.5,5001.25,85.0,8002.5,481.25
14,13469154,25.4150390625,35.310001373291016,3263.75,22.5,5003.75,65.0,8001.25,437.5
15,13470154,24.26171875,35.310001373291016,3257.5,32.5,5002.5,66.25,7988.75,470.0
16,13471154,23.98828125,35.310001373291016,3262.5,22.5,5002.5,65.0,7995.0,473.75
17,13472154,23.1201171875,35.31999969482422,3263.75,23.75,5003.75,83.75,7955.0,357.5
18,13473154,23.0615234375,35.31999969482422,3265.0,22.5,5003.75,86.25,8002.5,390.0
19,13474154,22.7275390625,35.31999969482422,3263.75,28.75,5003.75,67.5,8027.5,465.0
20,13475154,23.0849609375,35.33000183105469,3257.5,32.5,5002.5,66.25,7980.0,448.75
21,13476154,22.5849609375,35.33000183105469,3263.75,21.25,5002.5,65.0,7982.5,512.5
22,13477154,22.4072265625,35.33000183105469,3263.75,23.75,5003.75,86.25,7966.25,437.5
23,13478154,22.240234375,35.33000183105469,3262.5,23.75,5003.75,66.25,7975.0,400.0
24,13479154,22.443359375,35.34000015258789,3265.0,18.75,5002.5,65.0,8021.25,400.0
25,13480154,22.0625,35.349998474121094,3265.0,21.25,5003.75,67.5,8013.75,425.0
26,13481154,22.5029296875,35.349998474121094,3265.0,20.0,5002.5,67.5,7970.0,475.0
27,13482154,22.9208984375,35.369998931884766,3262.5,28.75,5002.5,66.25,7990.0,546.25
28,13483154,22.0869140625,35.34000015258789,3265.0,21.25,5003.75,65.0,7977.5,476.25
29,13484154,22.490234375,35.31999969482422,3265.0,20.0,5003.75,82.5,7987.5,490.0
30,13485154,18.44140625,35.02000045776367,3265.0,25.0,5002.5,67.5,7991.25,432.5
31,13486154,15.829100608825684,34.20000076293945,3260.0,25.0,5003.75,65.0,7941.25,451.25
32,13487154,15.829100608825684,33.52000045776367,3265.0,27.5,5002.5,67.5,7988.75,522.5
33,13488154,15.37890625,32.4900016784668,3260.0,28.75,5002.5,87.5,7993.75,466.25
34,13489154,15.970703125,32.119998931884766,3265.0,22.5,5003.75,86.25,7971.25,451.25
35,13490154,16.1083984375,31.329999923706055,3265.0,18.75,5002.5,65.0,7995.0,475.0
36,13491154,16.2333984375,30.8799991607666,3260.0,22.5,5002.5,66.25,7983.75,536.25
