Time,Altitude,Pressure,Velocity,Temperature,Events,Voltages
0.00,-0.0001714349,866.80,0,85.64, -,8.051342
0.05,9.294011,866.50,8.857142,85.64, -,8.051342
0.10,15.49221,866.30,14.7619,85.64, -,8.051342
0.15,24.79074,866.00,23.61905,85.64, -,8.051342
0.20,30.99183,865.80,29.52381,85.64, -,8.051342
0.25,46.49871,865.30,44.28571,85.64, -,8.051342
0.30,58.90829,864.90,56.09524,85.64, -,8.051342
0.35,68.2209,864.60,64.95238,85.64, -,8.051342
0.40,80.63863,864.20,76.7619,85.64, -,8.051342
0.45,102.3832,863.50,97.47619,85.64, -,8.051342
0.50,114.8156,863.10,109.3333,85.64, -,8.051342
0.55,130.3618,862.60,124.1429,85.46, -,8.070789
0.60,149.0261,862.00,141.9048,85.46, -,8.070789
0.65,173.9287,861.20,165.619,85.46, -,8.070789
0.70,189.5027,860.70,180.4286,85.46, -,8.070789
0.75,211.3188,860.00,201.1905,85.46, -,8.070789
0.80,230.0288,859.40,219,85.46, -,8.070789
0.85,258.1155,858.50,245.7619,85.46, -,8.070789
0.90,276.8519,857.90,263.619,85.46, -,8.070789
0.95,295.6008,857.30,281.4762,85.46, -,8.070789
1.00,317.4871,856.60,302.3333,85.46, -,8.070789
1.05,348.7777,855.60,332.1429,85.46, -,8.070789
1.10,376.9635,854.70,350.1429,85.46, -,8.070789
1.15,411.448,853.60,377.0952,85.46, -,8.070789
1.20,442.8277,852.60,398.1429,85.46, -,8.070789
1.25,477.3791,851.50,425.1429,85.46, -,8.070789
1.30,508.8215,850.50,440.3333,85.46, -,8.070789
1.35,543.442,849.40,461.4762,85.46, -,8.070789
1.40,574.9474,848.40,482.619,85.46, -,8.070789
1.45,609.6392,847.30,503.8571,85.46, -,8.070789
1.50,641.2078,846.30,513.1905,85.46, -,8.051342
1.55,679.1304,845.10,537.4286,85.46, -,8.051342
1.60,717.0948,843.90,558.7619,85.46, -,8.051342
1.65,761.4444,842.50,583.2381,85.46, -,8.051342
1.70,802.6785,841.20,598.8095,85.46, -,8.051342
1.75,850.3209,839.70,629.381,85.46, -,8.051342
1.80,888.4849,838.50,644.9524,85.46, -,8.051342
1.85,933.0658,837.10,669.619,85.46, -,8.051342
1.90,977.7052,835.70,685.381,85.46, -,8.051342
1.95,1035.189,833.90,722.2857,85.46, -,8.051342
2.00,1083.169,832.40,750.1429,85.46, -,8.051342
2.05,1137.632,830.70,781.1429,85.46, -,8.051342
2.10,1185.761,829.20,797.1905,85.46, -,8.051342
2.15,1240.394,827.50,822.381,85.46, -,8.051342
2.20,1298.339,825.70,844.7143,85.46, -,8.051342
2.25,1372.529,823.40,885.4762,85.46, -,8.051342
2.30,1430.71,821.60,908,85.46, -,8.051342
2.35,1501.957,819.40,945.9048,85.46, -,8.051342
2.40,1644.92,815.00,1049.095,85.46, -,8.051342
2.45,1968.885,805.10,1327.619,85.46, -,8.051342
2.50,2435.902,791.00,1739.333,85.46, -,8.051342
2.55,2801.573,780.10,2057.524,85.46, -,8.051342
2.60,3011.417,773.90,2221.286,85.46, -,8.051342
2.65,3116.852,770.80,2285.572,85.46, -,8.051342
2.70,2909.71,776.90,2046.048,85.46, -,8.051342
2.75,2526.099,788.30,1641.429,85.46, -,8.051342
2.80,2405.891,791.90,1481.571,85.46, -,8.051342
2.85,2392.563,792.30,1432.524,85.46, -,8.051342
