Time [s],Altitude [ft],Pressure [mbar],Velocity [ft/s],Temperature [F],Events,Voltages [V]
0.00,0.0001576812,861.30,0,91.04, -,8.323609
0.05,0.0001576812,861.30,0,91.04, -,8.323609
0.10,0.0001576812,861.30,0,91.04, -,8.323609
0.15,3.113304,861.20,2.952381,91.04, -,8.323609
0.20,6.228644,861.10,5.904762,91.04, -,8.323609
0.25,12.4564,860.90,11.85714,91.04, -,8.323609
0.30,12.4564,860.90,11.85714,91.04, -,8.323609
0.35,9.342376,861.00,8.904762,91.04, -,8.323609
0.40,9.342376,861.00,8.904762,91.04, -,8.323609
0.45,9.342376,861.00,8.904762,91.04, -,8.323609
0.50,9.342376,861.00,8.904762,91.04, -,8.323609
0.55,12.4564,860.90,11.85714,91.04, -,8.304162
0.60,9.342376,861.00,8.904762,91.04, -,8.304162
0.65,3.113304,861.20,2.952381,91.04, -,8.304162
0.70,-6.227158,861.50,-5.952381,91.04, -,8.304162
0.75,-15.56499,861.80,-14.85714,91.04, -,8.304162
0.80,-28.0126,862.20,-26.71428,91.04, -,8.304162
0.85,-43.56459,862.70,-41.52381,91.04, -,8.304162
0.90,46.73953,859.80,44.47619,91.04, -,8.304162
0.95,234.3598,853.80,223.1429,91.04, -,8.304162
1.00,416.7433,848.00,396.8571,91.04, -,8.304162
1.05,571.6158,843.10,544.3333,91.04, -,8.304162
1.10,730.4012,838.10,695.5714,91.04, -,8.304162
1.15,842.0081,834.60,801.8571,91.04, -,8.304162
1.20,947.5847,831.30,899.4762,91.04, -,8.304162
1.25,1037.431,828.50,982.0952,91.04, -,8.304162
1.30,1127.524,825.70,1061.952,91.04, -,8.304162
1.35,1195.257,823.60,1126.476,91.04, -,8.304162
1.40,1269.601,821.30,1200.238,91.04, -,8.304162
1.45,1327.9,819.50,1255.762,91.04, -,8.304162
1.50,1389.552,817.60,1314.476,91.04, -,8.304162
1.55,1444.81,815.90,1367.095,91.04, -,8.304162
1.60,1506.683,814.00,1423.048,91.04, -,8.304162
1.65,1562.141,812.30,1478.81,91.04, -,8.304162
1.70,1624.234,810.40,1543.905,91.04, -,8.304162
1.75,1676.616,808.80,1602.714,91.04, -,8.304162
1.80,1738.926,806.90,1670.952,91.04, -,8.304162
1.85,1791.492,805.30,1732.857,91.04, -,8.304162
1.90,1847.436,803.60,1800.952,91.04, -,8.304162
1.95,1896.877,802.10,1762.048,91.04, -,8.304162
2.00,1956.305,800.30,1640,91.04, -,8.304162
2.05,2005.911,798.80,1513.524,91.04, -,8.304162
2.10,2062.224,797.10,1419.667,91.04, -,8.304162
2.15,2111.991,795.60,1315.81,91.04, -,8.304162
2.20,2165.16,794.00,1260.143,91.04, -,8.304162
2.25,2215.085,792.50,1207.143,91.04, -,8.304162
2.30,2268.422,790.90,1172.381,91.04, -,8.304162
2.35,2315.165,789.50,1131.095,91.04, -,8.304162
2.40,2368.667,787.90,1117.524,91.04, -,8.304162
2.45,2415.554,786.50,1091.381,91.04, -,8.304162
2.50,2469.221,784.90,1086.952,91.04, -,8.304162
2.55,2516.253,783.50,1073.048,91.04, -,8.304162
2.60,2570.086,781.90,1071.714,91.04, -,8.304162
2.65,2613.894,780.60,1054.524,91.04, -,8.304162
2.70,2667.889,779.00,1053.143,91.04, -,8.304162
2.75,2715.21,777.60,1039.048,91.04, -,8.304162
2.80,2765.987,776.10,1037.524,91.04, -,8.304162
2.85,2810.057,774.80,1020.143,91.04, -,8.304162
2.90,2860.983,773.30,1018.619,91.04, -,8.304162
2.95,2905.183,772.00,1007.429,91.04, -,8.304162
3.00,2956.258,770.50,1009,91.04, -,8.304162
3.05,3000.588,769.20,994.619,91.04, -,8.304162
3.10,3048.397,767.80,992.9048,91.04, -,8.304162
3.15,3092.853,766.50,981.619,91.04, -,8.304162
3.20,3144.225,765.00,983.1429,91.04, -,8.304162
3.25,3188.813,763.70,975,91.04, -,8.304162
3.30,3236.901,762.30,973.2381,91.04, -,8.304162
3.35,3278.176,761.10,961.7143,91.04, -,8.304162
3.40,3326.395,759.70,963.0952,91.04, -,8.304162
3.45,3371.235,758.40,954.8571,91.04, -,8.304162
3.50,3416.139,757.10,952.9524,91.04, -,8.304162
3.55,3457.641,755.90,941.381,91.04, -,8.304162
3.60,3506.131,754.50,942.7619,91.04, -,8.304162
3.65,3551.221,753.20,934.4286,91.04, -,8.304162
3.70,3596.375,751.90,935.7143,91.04, -,8.304162
3.75,3638.112,750.70,924.0476,91.04, -,8.304162
3.80,3686.873,749.30,925.4286,91.04, -,8.304162
3.85,3728.728,748.10,916.9048,91.04, -,8.304162
3.90,3774.13,746.80,918.1905,91.04, -,8.304162
3.95,3816.098,745.60,909.619,91.04, -,8.304162
4.00,3861.624,744.30,910.9048,91.04, -,8.304162
4.05,3903.706,743.10,902.3333,91.04, -,8.304162
4.10,3949.356,741.80,903.5714,91.04, -,8.304162
4.15,3988.033,740.70,894.9048,91.04, -,8.304162
4.20,4033.803,739.40,896.1429,91.04, -,8.304162
4.25,4072.583,738.30,884.1905,91.04, -,8.304162
4.30,4118.474,737.00,885.4286,91.04, -,8.304162
4.35,4157.355,735.90,876.6667,91.04, -,8.304162
4.40,4203.369,734.60,881.1905,91.04, -,8.304162
4.45,4242.353,733.50,872.4286,91.04, -,8.304162
4.50,4284.936,732.30,870.2857,91.04, -,8.304162
4.55,4324.019,731.20,864.7619,91.04, -,8.304162
4.60,4366.711,730.00,865.9048,91.04, -,8.304162
4.65,4405.894,728.90,857.0476,91.04, -,8.304162
4.70,4448.695,727.70,854.8571,91.04, -,8.304162
4.75,4487.98,726.60,849.2857,91.04, -,8.304162
4.80,4530.889,725.40,850.381,91.04, -,8.304162
4.85,4570.275,724.30,841.4762,91.04, -,8.304162
4.90,4609.708,723.20,839.1905,91.04, -,8.304162
4.95,4649.191,722.10,833.5714,91.04, -,8.304162
5.00,4692.316,720.90,834.6667,91.04, -,8.304162
5.05,4731.902,719.80,829,91.04, -,8.304162
5.10,4771.534,718.70,826.6667,91.04, -,8.304162
5.15,4811.218,717.60,821,91.04, -,8.304162
5.20,4850.948,716.50,822,91.04, -,8.304162
5.25,4887.111,715.50,812.8571,91.04, -,8.304162
5.30,4930.56,714.30,817.2857,91.04, -,8.304162
5.35,4966.813,713.30,808.0952,91.04, -,8.304162
5.40,5010.371,712.10,812.5238,91.04, -,8.304162
5.45,5046.714,711.10,803.3333,91.04, -,8.304162
5.50,5086.739,710.00,804.2857,91.04, -,8.304162
5.55,5123.169,709.00,798.4286,91.04, -,8.304162
5.60,5163.29,707.90,799.381,91.04, -,8.304162
5.65,5199.808,706.90,793.4762,91.04, -,8.304162
5.70,5240.028,705.80,794.4286,91.04, -,8.304162
5.75,5276.634,704.80,788.5238,91.04, -,8.304162
5.80,5313.282,703.80,786,91.04, -,8.304162
5.85,5349.972,702.80,780.0952,91.04, -,8.304162
5.90,5386.705,701.80,777.5714,91.04, -,8.304162
5.95,5423.48,700.80,775.0476,91.04, -,8.304162
6.00,5463.98,699.70,776,91.04, -,8.304162
6.05,5497.158,698.80,766.5714,91.04, -,8.304162
6.10,5537.752,697.70,767.5238,91.04, -,8.304162
6.15,5571.006,696.80,761.4286,91.04, -,8.304162
6.20,5611.695,695.70,762.381,91.04, -,8.304162
6.25,5645.026,694.80,756.2857,91.04, -,8.304162
6.30,5682.102,693.80,757.1905,91.04, -,8.304162
6.35,5715.504,692.90,747.619,91.04, -,8.304162
6.40,5752.662,691.90,748.4762,91.04, -,8.304162
6.45,5789.863,690.90,742.4286,91.04, -,8.304162
6.50,5827.107,689.90,743.2857,91.04, -,8.304162
6.55,5860.666,689.00,737.1429,91.04, -,8.304162
6.60,5897.993,688.00,738,91.04, -,8.304162
6.65,5927.886,687.20,728.2857,91.04, -,8.304162
6.70,5969.038,686.10,732.7143,91.04, -,8.304162
6.75,5998.998,685.30,722.9524,91.04, -,8.304162
6.80,6036.489,684.30,723.8095,91.04, -,8.304162
6.85,6070.267,683.40,721.0952,91.04, -,8.304162
6.90,6104.084,682.50,718.3333,91.04, -,8.304162
6.95,6137.937,681.60,715.5714,91.04, -,8.304162
7.00,6171.824,680.70,712.8095,91.04, -,8.304162
7.05,6205.749,679.80,706.5714,91.04, -,8.304162
7.10,6239.708,678.90,707.2857,91.04, -,8.304162
7.15,6273.707,678.00,701,91.04, -,8.304162
7.20,6307.741,677.10,701.7619,91.04, -,8.304162
7.25,6338.024,676.30,691.8571,91.04, -,8.304162
7.30,6375.918,675.30,696.1905,91.04, -,8.304162
7.35,6406.266,674.50,689.7619,91.04, -,8.304162
7.40,6440.444,673.60,690.5238,91.04, -,8.304162
7.45,6470.854,672.80,684.0952,91.04, -,8.304162
7.50,6505.1,671.90,681.2857,91.04, -,8.304162
7.55,6535.574,671.10,674.8095,91.04, -,8.304162
7.60,6569.89,670.20,675.5238,91.04, -,8.304162
7.65,6600.425,669.40,669.0476,91.04, -,8.304162
7.70,6634.813,668.50,673.3333,91.04, -,8.304162
7.75,6665.411,667.70,663.2857,91.04, -,8.304162
7.80,6699.871,666.80,667.5714,91.04, -,8.304162
7.85,6730.532,666.00,661.0476,91.04, -,8.304162
7.90,6765.063,665.10,661.7619,91.04, -,8.304162
7.95,6791.943,664.40,655.1905,91.04, -,8.304162
8.00,6826.542,663.50,655.9048,91.04, -,8.304162
8.05,6857.326,662.70,652.9524,91.04, -,8.304162
8.10,6891.996,661.80,653.619,91.04, -,8.304162
8.15,6918.988,661.10,647,91.04, -,8.304162
8.20,6953.724,660.20,647.7143,91.04, -,8.304162
8.25,6980.768,659.50,641.0476,91.04, -,8.304162
8.30,7015.575,658.60,645.3333,91.04, -,8.304162
8.35,7042.67,657.90,635.0476,91.04, -,8.304162
8.40,7077.545,657.00,639.381,91.04, -,8.304162
8.45,7104.696,656.30,632.6667,91.04, -,8.304162
8.50,7139.638,655.40,637,91.04, -,8.304162
8.55,7166.843,654.70,630.2857,91.04, -,8.304162
8.60,7197.962,653.90,630.9048,91.04, -,8.304162
8.65,7225.218,653.20,624.1905,91.04, -,8.304162
8.70,7260.296,652.30,628.5238,91.04, -,8.304162
8.75,7287.605,651.60,621.7619,91.04, -,8.304162
8.80,7318.845,650.80,622.381,91.04, -,8.304162
8.85,7342.294,650.20,611.9048,91.04, -,8.304162
8.90,7377.503,649.30,616.2381,91.04, -,8.304162
8.95,7404.915,648.60,609.4286,91.04, -,8.304162
9.00,7436.271,647.80,613.6667,91.04, -,8.304162
9.05,7463.735,647.10,606.8571,91.04, -,8.304162
9.10,7491.22,646.40,603.7143,91.04, -,8.304162
9.15,7522.665,645.60,600.6667,91.04, -,8.304162
9.20,7554.139,644.80,604.9048,91.04, -,8.304162
9.25,7577.765,644.20,594.3333,91.04, -,8.304162
9.30,7609.294,643.40,598.619,91.04, -,8.304162
9.35,7632.964,642.80,588,91.04, -,8.304162
9.40,7664.55,642.00,592.2857,91.04, -,8.304162
9.45,7692.214,641.30,585.381,91.04, -,8.304162
9.50,7719.903,640.60,585.9048,91.04, -,8.343058
9.55,7747.613,639.90,579,91.04, -,8.343058
9.60,7779.317,639.10,583.2857,91.04, -,8.343058
9.65,7803.114,638.50,576.3333,91.04, -,8.343058
9.70,7830.9,637.80,576.8571,91.04, -,8.343058
9.75,7858.712,637.10,569.9048,91.04, -,8.343058
9.80,7886.546,636.40,570.4286,91.04, -,8.343058
9.85,7914.408,635.70,567.1905,91.04, -,8.343058
9.90,7942.293,635.00,571.4286,91.04, -,8.343058
9.95,7970.205,634.30,564.4762,91.04, -,8.343058
10.00,7998.141,633.60,565,91.04, -,8.343058
10.05,8022.104,633.00,557.9524,91.04, -,8.343058
10.10,8054.085,632.20,562.2857,91.04, -,8.343058
10.15,8078.094,631.60,558.9524,91.04, -,8.343058
10.20,8106.125,630.90,555.7143,91.04, -,8.343058
10.25,8130.173,630.30,548.6667,91.04, -,8.343058
10.30,8158.253,629.60,552.9048,91.04, -,8.343058
10.35,8182.34,629.00,545.8095,91.04, -,8.343058
10.40,8210.467,628.30,550.0952,91.04, -,8.343058
10.45,8234.594,627.70,543,91.04, -,8.343058
10.50,8262.768,627.00,543.4762,91.04, -,8.343058
10.55,8286.935,626.40,540.0952,91.04, -,8.304162
10.60,8315.156,625.70,540.5714,91.04, -,8.304162
10.65,8339.367,625.10,533.4286,91.04, -,8.304162
10.70,8367.633,624.40,537.6667,91.04, -,8.304162
10.75,8391.885,623.80,534.2857,91.04, -,8.304162
10.80,8416.153,623.20,530.9048,91.04, -,8.304162
10.85,8440.442,622.60,527.5238,91.04, -,8.304162
10.90,8468.801,621.90,528,91.04, -,8.304162
10.95,8493.131,621.30,524.619,91.04, -,8.304162
11.00,8517.479,620.70,521.2381,91.04, -,8.304162
11.05,8541.847,620.10,517.8095,91.04, -,8.304162
11.10,8570.298,619.40,522.0952,91.04, -,8.304162
11.15,8590.637,618.90,511,91.04, -,8.304162
11.20,8615.063,618.30,511.4286,91.04, -,8.304162
11.25,8639.506,617.70,508,91.04, -,8.304162
11.30,8663.971,617.10,508.381,91.04, -,8.304162
11.35,8684.371,616.60,501.0476,91.04, -,8.304162
11.40,8712.953,615.90,505.3333,91.04, -,8.304162
11.45,8733.386,615.40,498,91.04, -,8.304162
11.50,8762.015,614.70,502.2857,91.04, -,8.323609
11.55,8782.479,614.20,494.9524,91.04, -,8.323609
11.60,8807.058,613.60,495.381,91.04, -,8.323609
11.65,8831.651,613.00,491.9524,91.04, -,8.323609
11.70,8856.266,612.40,492.3333,91.04, -,8.323609
11.75,8876.793,611.90,485,91.04, -,8.323609
11.80,8901.445,611.30,485.381,91.04, -,8.323609
11.85,8922.003,610.80,481.8571,91.04, -,8.323609
11.90,8946.688,610.20,482.2381,91.04, -,8.323609
11.95,8967.275,609.70,474.8571,91.04, -,8.323609
12.00,8992,609.10,475.1905,91.04, -,8.323609
12.05,9012.617,608.60,471.619,91.04, -,8.323609
12.10,9037.375,608.00,472,91.04, -,8.323609
12.15,9058.022,607.50,464.5714,91.04, -,8.323609
12.20,9086.953,606.80,472.7619,91.04, -,8.323609
12.25,9103.495,606.40,465.2381,91.04, -,8.323609
12.30,9128.328,605.80,465.619,91.04, -,8.323609
12.35,9149.037,605.30,462.0476,91.04, -,8.323609
12.40,9173.904,604.70,466.2857,91.04, -,8.323609
12.45,9194.643,604.20,458.8095,91.04, -,8.323609
12.50,9215.396,603.70,459.0952,91.04, -,8.323609
12.55,9236.162,603.20,451.5714,91.04, -,8.323609
12.60,9261.103,602.60,455.8571,91.04, -,8.323609
12.65,9281.899,602.10,452.2381,91.04, -,8.323609
12.70,9302.711,601.60,448.619,91.04, -,8.323609
12.75,9323.536,601.10,445.0476,91.04, -,8.323609
12.80,9348.544,600.50,449.2857,91.04, -,8.323609
12.85,9365.229,600.10,441.7143,91.04, -,8.323609
12.90,9386.097,599.60,442,91.04, -,8.323609
12.95,9406.979,599.10,438.381,91.04, -,8.323609
13.00,9432.054,598.50,442.6667,91.04, -,8.323609
13.05,9448.784,598.10,435.0952,91.04, -,8.323609
13.10,9473.894,597.50,439.381,91.04, -,8.323609
13.15,9490.646,597.10,431.7619,91.04, -,8.323609
13.20,9511.599,596.60,432.0476,91.04, -,8.323609
13.25,9532.565,596.10,424.4286,91.04, -,8.323609
13.30,9553.546,595.60,428.6667,91.04, -,8.323609
13.35,9570.34,595.20,421,91.04, -,8.323609
13.40,9595.551,594.60,425.2857,91.04, -,8.323609
13.45,9612.367,594.20,417.619,91.04, -,8.323609
13.50,9633.402,593.70,417.9048,91.04, -,8.323609
13.55,9654.452,593.20,418.1905,91.04, -,8.323609
13.60,9675.516,592.70,418.4762,91.04, -,8.323609
13.65,9692.379,592.30,410.7619,91.04, -,8.323609
13.70,9713.469,591.80,411.0476,91.04, -,8.323609
13.75,9730.349,591.40,407.3333,91.04, -,8.323609
13.80,9751.465,590.90,407.5714,91.04, -,8.323609
13.85,9768.369,590.50,399.8571,91.04, -,8.323609
13.90,9789.511,590.00,404.0952,91.04, -,8.323609
13.95,9806.436,589.60,400.3333,91.04, -,8.323609
14.00,9827.604,589.10,400.5714,91.04, -,8.323609
14.05,9844.548,588.70,392.8095,91.04, -,8.323609
14.10,9865.741,588.20,397.0476,91.04, -,8.323609
14.15,9882.709,587.80,389.2857,91.04, -,8.323609
14.20,9903.93,587.30,393.5238,91.04, -,8.323609
14.25,9920.915,586.90,389.7619,91.04, -,8.323609
14.30,9942.161,586.40,390.0476,91.04, -,8.323609
14.35,9959.171,586.00,386.2381,91.04, -,8.323609
14.40,9980.444,585.50,390.4762,91.04, -,8.323609
14.45,9997.475,585.10,382.7143,91.04, -,8.323609
14.50,10014.51,584.70,382.9524,91.04, -,8.323609
14.55,10031.56,584.30,379.1429,91.04, -,8.323609
14.60,10048.62,583.90,375.3333,91.04, -,8.323609
14.65,10065.68,583.50,371.5238,91.04, -,8.323609
14.70,10082.76,583.10,371.7619,91.04, -,8.323609
14.75,10099.85,582.70,367.9524,91.04, -,8.323609
14.80,10121.22,582.20,372.1905,91.04, -,8.323609
14.85,10134.05,581.90,364.3333,91.04, -,8.323609
14.90,10155.44,581.40,368.619,91.04, -,8.323609
14.95,10172.57,581.00,364.8095,91.04, -,8.323609
15.00,10189.71,580.60,365.0476,91.04, -,8.323609
15.05,10206.85,580.20,361.2381,91.04, -,8.323609
15.10,10224.01,579.80,361.4286,91.04, -,8.323609
15.15,10241.17,579.40,357.5714,91.04, -,8.323609
15.20,10258.34,579.00,357.7619,91.04, -,8.323609
15.25,10275.53,578.60,353.9524,91.04, -,8.323609
15.30,10292.72,578.20,354.1429,91.04, -,8.323609
15.35,10309.93,577.80,350.2857,91.04, -,8.323609
15.40,10327.14,577.40,350.4762,91.04, -,8.323609
15.45,10340.06,577.10,342.5238,91.04, -,8.323609
15.50,10357.28,576.70,342.7143,91.04, -,8.323609
15.55,10374.52,576.30,342.9048,91.04, -,8.323609
15.60,10391.77,575.90,343.0952,91.04, -,8.323609
15.65,10404.72,575.60,339.1905,91.04, -,8.323609
15.70,10421.98,575.20,339.381,91.04, -,8.323609
15.75,10439.26,574.80,339.5714,91.04, -,8.323609
15.80,10456.54,574.40,339.7619,91.04, -,8.323609
15.85,10469.52,574.10,331.7619,91.04, -,8.323609
15.90,10486.82,573.70,336,91.04, -,8.323609
15.95,10499.8,573.40,328,91.04, -,8.323609
16.00,10517.12,573.00,328.1429,91.04, -,8.323609
16.05,10530.12,572.70,324.1905,91.04, -,8.323609
16.10,10547.45,572.30,324.381,91.04, -,8.323609
16.15,10560.46,572.00,320.4286,91.04, -,8.323609
16.20,10577.82,571.60,320.619,91.04, -,8.323609
16.25,10590.84,571.30,316.6667,91.04, -,8.323609
16.30,10608.21,570.90,316.8095,91.04, -,8.323609
16.35,10621.25,570.60,312.8571,91.04, -,8.323609
16.40,10638.63,570.20,313.0476,91.04, -,8.323609
16.45,10651.68,569.90,309.0952,91.04, -,8.323609
16.50,10669.09,569.50,313.381,91.04, -,8.323609
16.55,10682.15,569.20,309.381,91.04, -,8.304162
16.60,10695.21,568.90,305.381,91.04, -,8.304162
16.65,10708.29,568.60,301.381,91.04, -,8.304162
16.70,10725.72,568.20,305.6667,91.04, -,8.304162
16.75,10738.81,567.90,301.7143,91.04, -,8.304162
16.80,10751.9,567.60,297.7143,91.04, -,8.304162
16.85,10765,567.30,293.7143,91.04, -,8.304162
16.90,10782.47,566.90,298,91.04, -,8.304162
16.95,10795.58,566.60,294,91.04, -,8.304162
17.00,10808.69,566.30,294.0952,91.04, -,8.304162
17.05,10821.81,566.00,290.0952,91.04, -,8.304162
17.10,10834.94,565.70,290.2381,91.04, -,8.304162
17.15,10848.07,565.40,286.2381,91.04, -,8.304162
17.20,10865.59,565.00,290.5238,91.04, -,8.304162
17.25,10878.73,564.70,286.5238,91.04, -,8.304162
17.30,10891.88,564.40,286.6667,91.04, -,8.304162
17.35,10905.04,564.10,282.6667,91.04, -,8.304162
17.40,10918.2,563.80,282.7619,91.04, -,8.304162
17.45,10926.98,563.60,274.5714,91.04, -,8.304162
