Time [s],Altitude [ft],Pressure [mbar],Velocity [ft/s],Temperature [F],Events,Voltages [V]
0.00,0.0001281682,861.10,0,89.24, -,8.226371
0.05,0.0001281682,861.10,0,89.24, -,8.226371
0.10,3.11386,861.00,2.952381,89.24, -,8.226371
0.15,3.11386,861.00,2.952381,89.24, -,8.226371
0.20,6.227885,860.90,5.904762,89.24, -,8.226371
0.25,12.45871,860.70,11.85714,89.24, -,8.226371
0.30,12.45871,860.70,11.85714,89.24, -,8.226371
0.35,9.344104,860.80,8.904762,89.24, -,8.226371
0.40,9.344104,860.80,8.904762,89.24, -,8.226371
0.45,9.344104,860.80,8.904762,89.24, -,8.226371
0.50,9.344104,860.80,8.904762,89.24, -,8.226371
0.55,9.344104,860.80,8.904762,89.24, -,8.226371
0.60,6.227885,860.90,5.952381,89.24, -,8.226371
0.65,-3.115212,861.20,-2.952381,89.24, -,8.226371
0.70,-9.343112,861.40,-8.904762,89.24, -,8.226371
0.75,-15.56794,861.60,-14.80952,89.24, -,8.226371
0.80,-31.1287,862.10,-29.61905,89.24, -,8.226371
0.85,-34.24111,862.20,-32.57143,89.24, -,8.226371
0.90,87.31645,858.30,83.19048,89.24, -,8.226371
0.95,281.4848,852.10,268.0952,89.24, -,8.226371
1.00,448.3758,846.80,427.0476,89.24, -,8.226371
1.05,628.8098,841.10,598.9048,89.24, -,8.226371
1.10,765.5822,836.80,729.1429,89.24, -,8.226371
1.15,883.7272,833.10,838.7143,89.24, -,8.226371
1.20,973.4162,830.30,924.1429,89.24, -,8.226371
1.25,1073,827.20,1016.048,89.24, -,8.226371
1.30,1147.081,824.90,1080.667,89.24, -,8.226371
1.35,1224.563,822.50,1154.476,89.24, -,8.226371
1.40,1286.032,820.60,1215.952,89.24, -,8.226371
1.45,1350.861,818.60,1277.714,89.24, -,8.226371
1.50,1409.316,816.80,1333.381,89.24, -,8.206923
1.55,1467.876,815.00,1389.143,89.24, -,8.206923
1.60,1523.279,813.30,1441.905,89.24, -,8.206923
1.65,1585.309,811.40,1503.952,89.24, -,8.206923
1.70,1640.912,809.70,1565.81,89.24, -,8.206923
1.75,1703.168,807.80,1631.048,89.24, -,8.206923
1.80,1755.685,806.20,1686.952,89.24, -,8.206923
1.85,1814.868,804.40,1758.143,89.24, -,8.206923
1.90,1864.269,802.90,1808.143,89.24, -,8.206923
1.95,1923.651,801.10,1748.952,89.24, -,8.206923
2.00,1973.217,799.60,1611.238,89.24, -,8.206923
2.05,2029.482,797.90,1505.857,89.24, -,8.206923
2.10,2079.209,796.40,1381.381,89.24, -,8.206923
2.15,2132.336,794.80,1301.762,89.24, -,8.206923
2.20,2182.221,793.30,1236.762,89.24, -,8.206923
2.25,2235.514,791.70,1202.095,89.24, -,8.206923
2.30,2285.557,790.20,1154.905,89.24, -,8.206923
2.35,2339.022,788.60,1135.238,89.24, -,8.206923
2.40,2385.873,787.20,1106.048,89.24, -,8.206923
2.45,2439.503,785.60,1098.619,89.24, -,8.206923
2.50,2486.5,784.20,1081.619,89.24, -,8.206923
2.55,2536.93,782.70,1074,89.24, -,8.206923
2.60,2584.07,781.30,1063.143,89.24, -,8.206923
2.65,2638.026,779.70,1061.762,89.24, -,8.206923
2.70,2681.931,778.40,1044.476,89.24, -,8.206923
2.75,2736.052,776.80,1043.048,89.24, -,8.206923
2.80,2780.091,775.50,1025.714,89.24, -,8.206923
2.85,2830.979,774.00,1024.19,89.24, -,8.206923
2.90,2878.547,772.60,1013.095,89.24, -,8.206923
2.95,2926.184,771.20,1011.429,89.24, -,8.206923
3.00,2970.481,769.90,997.0476,89.24, -,8.206923
3.05,3021.669,768.40,998.619,89.24, -,8.206923
