,time,snr,rssi,payload_id,hours,latitude,longitude,altitude,speed,sats,temperature,voltage,pressure,flight_state
0,17:56:39,-14,-100,388,17,31.0443058013916,-103.53507995605469,898,0,12,29,8.196078431372548,91.5,OnPad
1,17:57:00,-12,-100,388,17,31.044300079345703,-103.53507995605469,898,0,12,30,8.196078431372548,91.5,OnPad
2,17:57:30,-12,-99,388,17,31.04429817199707,-103.53507232666016,897,0,12,30,8.196078431372548,91.5,OnPad
3,17:58:00,-12,-97,388,17,31.044301986694336,-103.53507232666016,897,0,12,30,8.196078431372548,91.48,OnPad
4,17:58:30,-20,-108,388,17,31.0443058013916,-103.53507232666016,897,0,12,30,8.196078431372548,91.5,OnPad
5,17:59:00,-14,-100,388,17,31.044307708740234,-103.53507232666016,896,0,12,30,8.196078431372548,91.51,OnPad
6,17:59:30,-17,-104,388,17,31.044313430786133,-103.53507232666016,895,0,12,30,8.196078431372548,91.5,OnPad
7,18:00:00,-16,-103,388,18,31.0443115234375,-103.53507995605469,896,0,12,30,8.196078431372548,91.5,OnPad
8,18:00:30,-18,-104,388,18,31.0443058013916,-103.53509521484375,895,0,12,31,8.196078431372548,91.5,OnPad
9,18:01:00,-16,-102,388,18,31.044301986694336,-103.53509521484375,896,0,12,31,8.196078431372548,91.51,OnPad
10,18:01:30,-16,-103,388,18,31.044301986694336,-103.53507995605469,896,0,12,31,8.196078431372548,91.49,OnPad
11,18:02:00,-16,-102,388,18,31.044300079345703,-103.53507232666016,897,0,12,31,8.196078431372548,91.51,OnPad
12,18:02:30,-16,-102,388,18,31.04429817199707,-103.53507232666016,898,0,12,31,8.196078431372548,91.5,OnPad
13,18:03:00,-13,-99,388,18,31.044296264648438,-103.53507232666016,896,0,12,31,8.196078431372548,91.49,OnPad
14,18:03:30,-15,-102,388,18,31.044294357299805,-103.5350570678711,896,0,12,31,8.196078431372548,91.5,OnPad
15,18:04:00,-16,-103,388,18,31.044296264648438,-103.53506469726562,896,0,12,31,8.196078431372548,91.5,OnPad
16,18:04:30,-14,-100,388,18,31.044307708740234,-103.53506469726562,894,0,12,32,8.196078431372548,91.49,OnPad
17,18:05:00,-15,-101,388,18,31.0443058013916,-103.53506469726562,896,0,12,32,8.196078431372548,91.49,OnPad
18,18:05:30,-20,-108,388,18,31.04429817199707,-103.53506469726562,895,0,12,32,8.196078431372548,91.49,OnPad
19,18:06:00,-17,-103,388,18,31.04429817199707,-103.53507232666016,897,0,12,32,8.196078431372548,91.49,OnPad
20,18:06:30,-14,-99,388,18,31.044300079345703,-103.53507232666016,897,0,12,32,8.196078431372548,91.49,OnPad
21,18:07:00,-15,-101,388,18,31.044300079345703,-103.53507232666016,896,0,12,32,8.196078431372548,91.49,OnPad
22,18:07:30,-13,-99,388,18,31.04429817199707,-103.53507232666016,897,0,12,32,8.196078431372548,91.48,OnPad
23,18:08:00,-15,-101,388,18,31.04429817199707,-103.53507995605469,897,0,12,32,8.196078431372548,91.49,OnPad
24,18:08:30,-19,-107,388,18,31.044294357299805,-103.53507995605469,898,0,12,32,8.196078431372548,91.49,OnPad
25,18:09:00,-16,-102,388,18,31.044294357299805,-103.53507232666016,897,0,12,32,8.196078431372548,91.49,OnPad
26,18:09:30,-15,-101,388,18,31.044301986694336,-103.53506469726562,896,0,12,32,8.196078431372548,91.48,OnPad
27,18:10:00,-14,-100,388,18,31.044300079345703,-103.53506469726562,897,0,12,33,8.196078431372548,91.48,OnPad
28,18:10:30,-16,-102,388,18,31.044300079345703,-103.53506469726562,897,0,12,33,8.196078431372548,91.48,OnPad
29,18:11:00,-16,-102,388,18,31.044296264648438,-103.53506469726562,898,0,12,33,8.196078431372548,91.49,OnPad
30,18:11:30,-22,-109,388,18,31.044294357299805,-103.53506469726562,897,0,12,33,8.196078431372548,91.49,OnPad
31,18:12:00,-22,-110,388,18,31.04429054260254,-103.53507232666016,897,0,12,33,8.196078431372548,91.49,OnPad
32,18:12:30,-17,-104,388,18,31.044286727905273,-103.53507232666016,897,0,12,33,8.196078431372548,91.48,OnPad
33,18:13:00,-15,-102,388,18,31.044288635253906,-103.53507232666016,896,0,12,33,8.196078431372548,91.48,OnPad
34,18:13:30,-18,-105,388,18,31.044292449951172,-103.53507232666016,895,0,12,33,8.196078431372548,91.48,OnPad
35,18:14:00,-13,-100,388,18,31.044294357299805,-103.53507232666016,894,0,12,33,8.196078431372548,91.47,OnPad
36,18:14:30,-16,-103,388,18,31.04429817199707,-103.53507232666016,894,0,12,33,8.196078431372548,91.47,OnPad
37,18:15:00,-14,-101,388,18,31.04429817199707,-103.53507232666016,895,0,12,33,8.196078431372548,91.47,OnPad
38,18:15:30,-15,-101,388,18,31.044301986694336,-103.53507995605469,895,0,12,33,8.196078431372548,91.47,OnPad
39,18:16:00,-17,-103,388,18,31.044313430786133,-103.53507995605469,895,0,12,33,8.196078431372548,91.48,OnPad
40,18:17:00,-14,-102,388,18,31.0443058013916,-103.53506469726562,895,0,12,34,8.196078431372548,91.48,OnPad
41,18:17:30,-17,-104,388,18,31.044294357299805,-103.53507232666016,896,0,12,34,8.196078431372548,91.48,OnPad
42,18:18:00,-14,-101,388,18,31.044286727905273,-103.53507232666016,896,0,12,34,8.196078431372548,91.48,OnPad
43,18:18:30,-15,-103,388,18,31.044288635253906,-103.53506469726562,895,0,12,34,8.196078431372548,91.49,OnPad
