TRACKER,DATE,TIME,GS Lat,GS Lon,GS Alt asl,TRACKER Lat,TRACKER Lon,TRACKER Alt asl,FIX,HORZV,VERTV,HEAD,FLAGS,#TOT,>40,>32,>24,RSSI Down,RSSI Up,Horizontal range (ft),Alt AGL (ft),Total range (ft),LoRa Max Range (kft),LoRa Success Rate,BATT,GS_batt_v,Down Sent,Down Rcvd,Found Sent,Up Sent,Up Rccvd,Found rocket ID,Found rocket lat,Found rocket lon,Found rocket altitude,Found rocket fix,Found rocket batt_v,Found RSSI,GS_ASL_offset
<T144RITpl>,2025-06-11,12:55:34.179,31.03761,-103.53695,2962.7,0.00000,0.00000,0.0,0,0,0,0,0x00,0,0,0,0,-93,-50,0.00,0,2962.666,0.000,100%,0.000,3.836,0,1,0,2,0,,0.00000,0.00000,0.0,0,0.0,-50,0.0
<T144RITpl>,2025-06-11,12:55:35.167,31.03761,-103.53695,2962.7,0.00000,0.00000,0.0,0,0,0,0,0x00,0,0,0,0,-92,-50,0.00,0,2962.666,0.000,100%,0.000,3.837,1,2,0,3,0,,0.00000,0.00000,0.0,0,0.0,-50,0.0
<T144RITpl>,2025-06-11,12:55:36.127,31.03761,-103.53695,2962.7,0.00000,0.00000,0.0,0,0,0,0,0x00,0,0,0,0,-89,-50,0.00,0,2962.666,0.000,100%,0.000,3.837,2,3,5193,4,0,,0.00000,0.00000,0.0,0,0.0,-50,0.0
<T144RITpl>,2025-06-11,12:55:37.149,31.03761,-103.53695,2962.7,0.00000,0.00000,0.0,0,0,0,0,0x00,0,0,0,0,-89,-50,0.00,0,2962.666,0.000,100%,4.106,3.840,3,4,5193,5,0,,0.00000,0.00000,0.0,0,0.0,-50,0.0
<T144RITpl>,2025-06-11,12:55:38.138,31.03761,-103.53695,2962.7,0.00000,0.00000,0.0,0,0,0,0,0x00,0,0,0,0,-88,-50,0.00,0,2962.666,0.000,100%,4.106,3.840,4,5,5193,6,0,,0.00000,0.00000,0.0,0,0.0,-50,0.0
<T144RITpl>,2025-06-11,12:55:42.158,31.03761,-103.53695,2962.7,0.00000,0.00000,0.0,0,0,0,0,0x00,0,0,0,0,-92,-50,0.00,0,2962.666,0.000,100%,4.105,3.840,8,6,5193,7,0,,0.00000,0.00000,0.0,0,0.0,-50,0.0
<T144RITpl>,2025-06-11,12:55:43.148,31.03761,-103.53695,2962.7,0.00000,0.00000,0.0,0,0,0,0,0x00,0,0,0,0,-91,-50,0.00,0,2962.666,0.000,100%,4.106,3.825,9,7,5961,8,0,,0.00000,0.00000,0.0,0,0.0,-50,0.0
<T144RITpl>,2025-06-11,12:55:44.168,31.03761,-103.53695,2962.7,0.00000,0.00000,0.0,0,0,0,0,0x00,0,0,0,0,-93,-50,0.00,0,2962.666,0.000,100%,4.106,3.838,10,8,5961,9,0,,0.00000,0.00000,0.0,0,0.0,-50,0.0
<T144RITpl>,2025-06-11,12:55:45.127,31.03761,-103.53695,2962.7,0.00000,0.00000,0.0,0,0,0,0,0x00,0,0,0,0,-92,-50,0.00,0,2962.666,0.000,100%,4.106,3.839,11,9,5961,10,0,,0.00000,0.00000,0.0,0,0.0,-50,0.0
<T144RITpl>,2025-06-11,12:55:46.180,31.03761,-103.53695,2962.7,0.00000,0.00000,0.0,0,0,0,0,0x00,0,0,0,0,-92,-50,0.00,0,2962.666,0.000,100%,4.106,3.839,12,10,5961,11,0,,0.00000,0.00000,0.0,0,0.0,-50,0.0
