UTCTIME,UNIXTIME,ALT,LAT,LON,#SATS,FIX,HORZV,VERTV,HEAD,FLAGS,>40,>32,>24,RSSI,BATT,Altitude AGL,Launch detection,Apogee detection,Landing detection,Distance (feet)
Mar 28 2026 16:16:08.000 UTC,1774728968.0,890.0,42.70333,-77.19173,27,3,0,0,-87,3,6,12,2,-20,3.749,1.0,FALSE,FALSE,FALSE,NaN
Mar 28 2026 16:16:08.199 UTC,1774728968.199,890.0,42.70333,-77.19173,26,3,0,0,-8,3,6,12,1,-20,3.749,1.0,FALSE,FALSE,FALSE,NaN
Mar 28 2026 16:16:08.299 UTC,1774728968.299,890.0,42.70333,-77.19173,27,3,0,0,-113,3,6,12,2,-20,3.749,1.0,FALSE,FALSE,FALSE,NaN
Mar 28 2026 16:16:08.399 UTC,1774728968.399,889.9,42.70333,-77.19173,27,3,0,0,58,3,6,12,2,-20,3.758,0.9,FALSE,FALSE,FALSE,NaN
Mar 28 2026 16:16:08.499 UTC,1774728968.499,889.9,42.70333,-77.19173,27,3,0,0,-66,3,6,12,2,-20,3.758,0.9,FALSE,FALSE,FALSE,NaN
Mar 28 2026 16:16:08.599 UTC,1774728968.599,889.9,42.70333,-77.19173,27,3,0,0,-106,3,6,12,2,-20,3.758,0.9,FALSE,FALSE,FALSE,NaN
Mar 28 2026 16:16:08.699 UTC,1774728968.699,889.9,42.70333,-77.19173,27,3,0,0,111,3,6,12,2,-20,3.758,0.9,FALSE,FALSE,FALSE,NaN
Mar 28 2026 16:16:08.799 UTC,1774728968.799,889.9,42.70333,-77.19173,27,3,0,0,-116,3,6,12,2,-20,3.758,0.9,FALSE,FALSE,FALSE,NaN
Mar 28 2026 16:16:08.899 UTC,1774728968.899,889.9,42.70333,-77.19173,27,3,0,0,-85,3,6,12,2,-20,3.758,0.9,FALSE,FALSE,FALSE,NaN
Mar 28 2026 16:16:09.000 UTC,1774728969.0,889.9,42.70333,-77.19173,27,3,0,0,-117,3,6,12,2,-20,3.758,0.9,FALSE,FALSE,FALSE,NaN
Mar 28 2026 16:16:09.199 UTC,1774728969.199,889.9,42.70333,-77.19173,27,3,0,0,45,3,6,12,2,-20,3.758,0.9,FALSE,FALSE,FALSE,NaN
Mar 28 2026 16:16:09.299 UTC,1774728969.299,889.9,42.70333,-77.19173,27,3,0,0,107,3,6,12,2,-20,3.758,0.9,FALSE,FALSE,FALSE,NaN
Mar 28 2026 16:16:09.399 UTC,1774728969.399,889.9,42.70333,-77.19173,27,3,0,0,-133,3,6,12,2,-20,3.758,0.9,FALSE,FALSE,FALSE,NaN
Mar 28 2026 16:16:09.499 UTC,1774728969.499,889.9,42.70333,-77.19173,27,3,0,0,45,3,6,12,2,-20,3.758,0.9,FALSE,FALSE,FALSE,NaN
Mar 28 2026 16:16:09.599 UTC,1774728969.599,889.8,42.70333,-77.19173,27,3,0,0,116,3,6,12,2,-20,3.758,0.8,FALSE,FALSE,FALSE,NaN
Mar 28 2026 16:16:09.699 UTC,1774728969.699,889.8,42.70333,-77.19173,27,3,0,0,-59,3,6,12,2,-21,3.758,0.8,FALSE,FALSE,FALSE,NaN
Mar 28 2026 16:16:09.799 UTC,1774728969.799,889.8,42.70333,-77.19173,27,3,0,0,-1,3,6,12,2,-21,3.758,0.8,FALSE,FALSE,FALSE,NaN
Mar 28 2026 16:16:09.899 UTC,1774728969.899,889.8,42.70333,-77.19173,27,3,0,0,149,3,6,12,2,-21,3.758,0.8,FALSE,FALSE,FALSE,NaN
Mar 28 2026 16:16:10.000 UTC,1774728970.0,889.8,42.70333,-77.19173,27,3,0,0,-113,3,6,12,2,-21,3.758,0.8,FALSE,FALSE,FALSE,NaN
