# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,0.0065714,1.3144433,131.5017071,1.3144433,131.5017071,0,0,0,0,0,0,42.70333,-77.19173,9.8013844,73.3820416,0,0,0,1298.096505,196.096505,0.0884493,0.0013442,NaN,58.1871346,NaN,0.0136427,279620.4268094,183.4267562,0.001707,0.5804907,0.0295296,0.3339849,0.1264816,0.1200242,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0001409,7.874,48.6945887,90,0,4.4040211,9.2149573,911.034738,336.8831641,0.01,0.0063732
# Event LIFTOFF occurred at t=0.02 seconds
0.02,0.0289507,3.1616973,184.8100928,3.1616973,184.8100928,0,0,0,0,0,0,42.70333,-77.19173,9.8013844,54.7207115,0,0,0,1296.8852534,194.8852534,0.0883487,0.0013441,NaN,58.1608033,NaN,0.0162496,333051.2867028,252.4061771,0.0174221,0.5677318,0.2124447,0.3211058,0.1265916,0.1200343,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0003389,7.874,48.6945887,90,0,4.46885,9.2148118,911.0322375,336.883076,0.01,0.0085437
0.03,0.0696492,4.9782501,181.7290692,4.9782501,181.7290692,0,0,0,0,0,0,42.70333,-77.19173,9.8013843,42.3240003,0,0,0,1295.6921678,193.6921678,0.0882494,0.001344,NaN,58.1348188,NaN,0.0199871,409653.033299,248.2152667,0.050758,0.5535837,0.4091093,0.3067977,0.1267341,0.1200519,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0005335,7.874,48.6945887,90,0,4.533679,9.2145473,911.0276905,336.8829156,0.01,0.0104673
0.04,0.1284067,6.7734708,179.5894441,6.7734708,179.5894441,0,0,0,0,0,0,42.70333,-77.19173,9.8013842,34.1725587,0,0,0,1294.5073152,192.5073152,0.0881507,0.0013439,NaN,58.1089662,NaN,0.0243021,498091.0447648,245.26625,0.0984373,0.5411047,0.5366701,0.2941454,0.1268825,0.1200768,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000726,7.874,48.6945887,90,0,4.5985079,9.2141653,911.0211258,336.8826842,0.01,0.0119108
0.05,0.205028,8.5510189,177.817253,8.5510189,177.817253,0,0,0,0,0,0,42.70333,-77.19173,9.801384,28.6060337,0,0,0,1293.3224626,191.3224626,0.0880518,0.0013437,NaN,58.0830662,NaN,0.028912,592571.1208773,242.80875,0.1573524,0.5306824,0.6061155,0.2835461,0.1270276,0.1201087,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0009165,7.874,48.6945887,90,0,4.6633369,9.2136673,911.0125653,336.8823824,0.01,0.0131994
0.06,0.2993381,10.3111901,176.0750521,10.3111901,176.0750521,0,0,0,0,0,0,42.70333,-77.19173,9.8013838,23.9322982,0,0,0,1292.1415476,190.1415476,0.087953,0.0013436,NaN,58.0572051,NaN,0.0334867,686326.7519182,240.4039095,0.225244,0.5223286,0.6467729,0.2750211,0.1271617,0.1201458,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0011051,7.874,48.6945887,90,0,4.5762477,9.2130543,911.0020284,336.8820109,0.01,0.0143048
0.07,0.4112298,12.0673279,175.667611,12.0673279,175.667611,0,0,0,0,0,0,42.70333,-77.19173,9.8013835,20.4056658,0,0,0,1290.9763828,188.9763828,0.0878554,0.0013435,NaN,58.0316425,NaN,0.038219,783309.2049432,239.7368333,0.3007416,0.5162961,0.6629557,0.2688135,0.1272928,0.1201899,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0012933,7.874,48.6945887,90,0,4.4891584,9.212327,910.9895273,336.8815702,0.01,0.0155245
0.08,0.540695,13.8258732,175.9046235,13.8258732,175.9046235,0,0,0,0,0,0,42.70333,-77.19173,9.8013832,17.6611384,0,0,0,1289.8112181,187.8112181,0.0877576,0.0013434,NaN,58.0060337,NaN,0.0430709,882738.096899,239.9123095,0.3866188,0.516465,0.6710781,0.2688029,0.127421,0.1202412,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0014818,7.874,48.6945887,90,0,4.4020692,9.2114855,910.9750628,336.8810602,0.01,0.0168537
0.09,0.6877574,15.5867663,176.1376376,15.5867663,176.1376376,0,0,0,0,0,0,42.70333,-77.19173,9.8013828,15.4740103,0,0,0,1288.6460534,186.6460534,0.0876596,0.0013432,NaN,57.9803786,NaN,0.0480082,983914.7688128,240.0877857,0.4782009,0.516637,0.6681058,0.2687908,0.1275466,0.1202996,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0016705,7.874,48.6945887,90,0,4.31498,9.2105296,910.9586322,336.8804809,0.01,0.0180152
