UTCTIME,UNIXTIME,ALT,LAT,LON,#SATS,FIX,HORZV,VERTV,HEAD,FLAGS,>40,>32,>24,RSSI,BATT,Altitude AGL,Launch detection,Apogee detection,Landing detection,Distance (feet)
Mar 28 2026 20:35:13.799 UTC,1774744513.799,902.7,42.70332,-77.19182,30,3,0,0,-70,3,1,17,4,-26,3.766,0.7,FALSE,FALSE,FALSE,0.0000
Mar 28 2026 20:35:13.899 UTC,1774744513.899,902.7,42.70332,-77.19182,30,3,0,0,81,3,1,17,4,-26,3.766,0.7,FALSE,FALSE,FALSE,0.0000
Mar 28 2026 20:35:14.000 UTC,1774744514.0,902.7,42.70332,-77.19182,30,3,0,0,114,3,1,17,4,-26,3.766,0.7,FALSE,FALSE,FALSE,0.0000
Mar 28 2026 20:35:14.199 UTC,1774744514.199,902.8,42.70332,-77.19182,30,3,0,0,39,3,1,17,4,-26,3.766,0.8,FALSE,FALSE,FALSE,0.0000
Mar 28 2026 20:35:14.299 UTC,1774744514.299,902.8,42.70332,-77.19182,30,3,0,0,-170,3,1,17,4,-26,3.768,0.8,FALSE,FALSE,FALSE,0.0000
Mar 28 2026 20:35:14.399 UTC,1774744514.399,902.8,42.70332,-77.19182,30,3,0,0,-7,3,1,17,4,-26,3.768,0.8,FALSE,FALSE,FALSE,0.0000
Mar 28 2026 20:35:14.499 UTC,1774744514.499,902.8,42.70332,-77.19182,30,3,0,0,-177,3,2,17,4,-26,3.768,0.8,FALSE,FALSE,FALSE,0.0000
Mar 28 2026 20:35:14.599 UTC,1774744514.599,902.8,42.70332,-77.19182,30,3,0,0,107,3,2,17,4,-26,3.768,0.8,FALSE,FALSE,FALSE,0.0000
Mar 28 2026 20:35:14.699 UTC,1774744514.699,902.8,42.70332,-77.19182,30,3,0,0,45,3,2,16,5,-26,3.768,0.8,FALSE,FALSE,FALSE,0.0000
Mar 28 2026 20:35:14.799 UTC,1774744514.799,902.8,42.70332,-77.19182,30,3,0,0,88,3,2,17,4,-26,3.768,0.8,FALSE,FALSE,FALSE,0.0000
Mar 28 2026 20:35:14.899 UTC,1774744514.899,902.8,42.70332,-77.19182,30,3,0,0,-153,3,2,16,5,-26,3.768,0.8,FALSE,FALSE,FALSE,0.0000
Mar 28 2026 20:35:15.000 UTC,1774744515.0,902.8,42.70332,-77.19182,30,3,0,0,-150,3,2,17,4,-26,3.768,0.8,FALSE,FALSE,FALSE,0.0000
Mar 28 2026 20:35:15.199 UTC,1774744515.199,902.8,42.70332,-77.19182,30,3,0,0,-43,3,1,16,5,-26,3.768,0.8,FALSE,FALSE,FALSE,0.0000
Mar 28 2026 20:35:15.299 UTC,1774744515.299,902.8,42.70332,-77.19182,30,3,0,0,105,3,1,16,5,-26,3.768,0.8,FALSE,FALSE,FALSE,0.0000
Mar 28 2026 20:35:15.399 UTC,1774744515.399,902.8,42.70332,-77.19182,30,3,0,0,154,3,1,16,5,-26,3.768,0.8,FALSE,FALSE,FALSE,0.0000
Mar 28 2026 20:35:15.499 UTC,1774744515.499,902.9,42.70332,-77.19182,30,3,0,0,-38,3,1,16,5,-26,3.768,0.9,FALSE,FALSE,FALSE,0.0000
