timestamp_ms,temp_c,pressure_kpa,accel_x_m_s2,accel_y_m_s2,accel_z_m_s2,gyro_x_dps,gyro_y_dps,gyro_z_dps,e_alt_m,e_vel_m_s,e_acc_m_s2,e_bias,innovation0,innovation1,r1c1,r1c2,r1c3,r2c1,r2c2,r2c3,r3c1,r3c2,r3c3,effort
1793955, 8.289999961853027, 99.96399688720703, -1.8855440616607666, -0.062212999910116196, -2.254038095474243, 0.5473350286483765, 0.18814599514007568, 0.07330299913883209, 0.6124294400215149, 4.017973899841309, -9.530611038208008, 8.153326034545898, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0
1793965, 8.300000190734863, 99.9469985961914, -1.2681950330734253, 1.8568300008773804, 5.139781951904297, 0.5571079850196838, -0.048868998885154724, 0.007329999934881926, 0.2865593731403351, -0.7656385898590088, -9.87412166595459, 10.290353775024414, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0
1793975, 8.289999961853027, 99.93599700927734, 0.5359920263290405, -4.809573173522949, -2.9623141288757324, 0.6841679811477661, 0.3591879904270172, 0.012217000126838684, 0.29206499457359314, -0.6892515420913696, -13.182347297668457, 10.160469055175781, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0
1793985, 8.300000190734863, 99.93499755859375, -0.6412760019302368, -2.134397029876709, -0.8087739944458008, 0.796567976474762, 0.6890550255775452, 0.026877999305725098, 0.44190531969070435, 1.1974029541015625, -11.230298042297363, 9.267598152160645, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0
1793995, 8.289999961853027, 99.93800354003906, 4.043869972229004, 5.0009989738464355, -0.19621099531650543, 0.7476980090141296, 0.796567976474762, -0.06841599941253662, 0.4660692811012268, 1.2486311197280884, -2.9224233627319336, 9.318099021911621, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0
1794005, 8.300000190734863, 99.94100189208984, 2.7134599685668945, 5.771488189697266, 0.2057819962501526, 0.6133080124855042, 0.7403680086135864, -0.1954759955406189, 0.3893609642982483, 0.07740128040313721, -3.8265180587768555, 9.82628345489502, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0
1794015, 8.289999961853027, 99.93900299072266, 3.905086040496826, 4.259223937988281, -1.239482045173645, 0.6255249977111816, 0.6181949973106384, -0.1221729964017868, 0.6183782815933228, 2.968703508377075, -2.7311623096466064, 8.504199981689453, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0
1794025, 8.279999732971191, 99.93699645996094, 3.1920249462127686, 5.063211917877197, -1.1437690258026123, 0.6304119825363159, 0.5228999853134155, -0.0048859999515116215, 0.7191116809844971, 3.8542792797088623, -2.2568957805633545, 8.094226837158203, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0
1794035, 8.300000190734863, 99.94100189208984, 3.6801609992980957, 6.881756782531738, -0.7274180054664612, 0.47647398710250854, 0.40316998958587646, -0.024434000253677368, 0.6074088215827942, 1.9063265323638916, -1.516738772392273, 8.985139846801758, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0
1794045, 8.289999961853027, 99.94300079345703, 3.0819549560546875, 6.695116996765137, -1.0289130210876465, 0.26633700728416443, 0.31520599126815796, -0.053755998611450195, 0.3651440441608429, -1.45927894115448, -3.5716333389282227, 10.485066413879395, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0
1794055, 8.289999961853027, 99.94400024414062, 3.005384922027588, 6.360122203826904, -1.698904037475586, 0.03420799970626831, 0.08307699859142303, -0.04153800010681152, 0.09804248809814453, -4.731012344360352, -5.314995765686035, 11.937407493591309, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0
1794065, 8.300000190734863, 99.947998046875, 3.1776680946350098, 6.790830135345459, 0.6269189715385437, -0.3103190064430237, -0.2296849936246872, 0.012217000126838684, -0.258017897605896, -8.74033260345459, -6.675777912139893, 13.724571228027344, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0
