UTCTIME,UNIXTIME,ALT,LAT,LON,#SATS,FIX,HORZV,VERTV,HEAD,FLAGS,>40,>32,>24,RSSI,BATT,Altitude AGL,Launch detection,Apogee detection,Landing detection,Distance (feet)
Mar 28 2026 18:29:34.599 UTC,1774736974.599,886.1,42.70334,-77.19183,32,3,0,0,81,3,12,8,6,-34,3.485,0.1,FALSE,FALSE,FALSE,0.0000
Mar 28 2026 18:29:34.699 UTC,1774736974.699,886.1,42.70334,-77.19183,32,3,0,0,-80,3,11,8,6,-39,3.485,0.1,FALSE,FALSE,FALSE,0.0000
Mar 28 2026 18:29:34.799 UTC,1774736974.799,886.1,42.70334,-77.19183,32,3,0,0,-124,3,12,9,5,-39,3.485,0.1,FALSE,FALSE,FALSE,0.0000
Mar 28 2026 18:29:34.899 UTC,1774736974.899,886.1,42.70334,-77.19183,32,3,0,0,139,3,11,9,5,-39,3.485,0.1,FALSE,FALSE,FALSE,0.0000
Mar 28 2026 18:29:35.000 UTC,1774736975.0,886.1,42.70334,-77.19183,32,3,0,0,67,3,12,9,5,-39,3.485,0.1,FALSE,FALSE,FALSE,0.0000
Mar 28 2026 18:29:35.199 UTC,1774736975.199,886.1,42.70334,-77.19183,32,3,0,0,-128,3,11,9,5,-39,3.485,0.1,FALSE,FALSE,FALSE,0.0000
Mar 28 2026 18:29:35.299 UTC,1774736975.299,886.1,42.70334,-77.19183,32,3,0,0,-43,3,12,9,5,-39,3.485,0.1,FALSE,FALSE,FALSE,0.0000
Mar 28 2026 18:29:35.399 UTC,1774736975.399,886.1,42.70334,-77.19183,32,3,0,0,-108,3,11,9,5,-39,3.485,0.1,FALSE,FALSE,FALSE,0.0000
Mar 28 2026 18:29:35.499 UTC,1774736975.499,886.1,42.70334,-77.19183,32,3,0,0,66,3,12,9,5,-39,3.485,0.1,FALSE,FALSE,FALSE,0.0000
Mar 28 2026 18:29:35.599 UTC,1774736975.599,886.1,42.70334,-77.19183,32,3,0,0,170,3,11,10,5,-39,3.485,0.1,FALSE,FALSE,FALSE,0.0000
Mar 28 2026 18:29:35.699 UTC,1774736975.699,886.1,42.70334,-77.19183,32,3,0,0,-97,3,12,10,5,-39,3.485,0.1,FALSE,FALSE,FALSE,0.0000
Mar 28 2026 18:29:35.799 UTC,1774736975.799,886.1,42.70334,-77.19183,32,3,0,0,12,3,11,10,5,-39,3.485,0.1,FALSE,FALSE,FALSE,0.0000
Mar 28 2026 18:29:35.899 UTC,1774736975.899,886.1,42.70334,-77.19183,32,3,0,0,75,3,11,10,5,-39,3.485,0.1,FALSE,FALSE,FALSE,0.0000
Mar 28 2026 18:29:36.000 UTC,1774736976.0,886.1,42.70334,-77.19183,32,3,0,0,-85,3,11,10,5,-39,3.485,0.1,FALSE,FALSE,FALSE,0.0000
Mar 28 2026 18:29:36.199 UTC,1774736976.199,886.1,42.70334,-77.19183,32,3,0,0,36,3,13,8,5,-39,3.485,0.1,FALSE,FALSE,FALSE,0.0000
Mar 28 2026 18:29:36.299 UTC,1774736976.299,886.1,42.70334,-77.19183,32,3,0,0,-42,3,11,9,5,-39,3.485,0.1,FALSE,FALSE,FALSE,0.0000
Mar 28 2026 18:29:36.499 UTC,1774736976.499,886.1,42.70334,-77.19183,32,3,0,0,-63,3,13,8,5,-39,3.485,0.1,FALSE,FALSE,FALSE,0.0000
Mar 28 2026 18:29:36.599 UTC,1774736976.599,886.1,42.70334,-77.19183,32,3,0,0,158,3,12,9,4,-39,3.485,0.1,FALSE,FALSE,FALSE,0.0000
Mar 28 2026 18:29:36.699 UTC,1774736976.699,886.1,42.70334,-77.19183,32,3,0,0,0,3,13,9,4,-43,3.485,0.1,FALSE,FALSE,FALSE,0.0000
Mar 28 2026 18:29:36.799 UTC,1774736976.799,886.1,42.70334,-77.19183,32,3,0,0,-22,3,11,9,4,-43,3.537,0.1,FALSE,FALSE,FALSE,0.0000
Mar 28 2026 18:29:36.899 UTC,1774736976.899,886.1,42.70334,-77.19183,32,3,0,0,163,3,13,8,4,-43,3.537,0.1,FALSE,FALSE,FALSE,0.0000
Mar 28 2026 18:29:37.000 UTC,1774736977.0,886.1,42.70334,-77.19183,32,3,0,0,-135,3,13,8,4,-43,3.537,0.1,FALSE,FALSE,FALSE,0.0000
Mar 28 2026 18:29:37.199 UTC,1774736977.199,886.1,42.70334,-77.19183,32,3,0,0,15,3,13,8,4,-43,3.537,0.1,FALSE,FALSE,FALSE,0.0000
Mar 28 2026 18:29:37.299 UTC,1774736977.299,886.0,42.70334,-77.19183,32,3,0,0,-51,3,12,7,5,-43,3.537,0.0,FALSE,FALSE,FALSE,0.0000
Mar 28 2026 18:29:37.399 UTC,1774736977.399,886.0,42.70334,-77.19183,32,3,0,0,117,3,13,7,5,-43,3.537,0.0,FALSE,FALSE,FALSE,0.0000
Mar 28 2026 18:29:37.499 UTC,1774736977.499,886.0,42.70334,-77.19183,32,3,0,0,-135,3,13,7,5,-43,3.537,0.0,FALSE,FALSE,FALSE,0.0000
Mar 28 2026 18:29:37.599 UTC,1774736977.599,886.0,42.70334,-77.19183,32,3,0,0,-51,3,13,7,5,-43,3.537,0.0,FALSE,FALSE,FALSE,0.0000
Mar 28 2026 18:29:37.699 UTC,1774736977.699,886.0,42.70334,-77.19183,32,3,0,0,90,3,13,7,5,-42,3.537,0.0,FALSE,FALSE,FALSE,0.0000
Mar 28 2026 18:29:37.799 UTC,1774736977.799,886.0,42.70334,-77.19183,32,3,0,0,-5,3,13,7,5,-42,3.537,0.0,FALSE,FALSE,FALSE,0.0000
Mar 28 2026 18:29:37.899 UTC,1774736977.899,886.0,42.70334,-77.19183,32,3,0,0,128,3,13,7,5,-42,3.537,0.0,FALSE,FALSE,FALSE,0.0000
Mar 28 2026 18:29:38.000 UTC,1774736978.0,886.0,42.70334,-77.19183,32,3,0,-1,-106,3,13,7,5,-42,3.537,0.0,FALSE,FALSE,FALSE,0.0000
Mar 28 2026 18:29:38.199 UTC,1774736978.199,886.5,42.70334,-77.19183,32,3,3,6,-5,3,3,12,10,-42,3.537,0.5,TRUE,FALSE,FALSE,0.0000
Mar 28 2026 18:29:38.299 UTC,1774736978.299,888.6,42.70334,-77.19183,32,3,5,33,-179,3,0,7,16,-42,3.537,2.6,TRUE,FALSE,FALSE,0.0000
Mar 28 2026 18:29:38.399 UTC,1774736978.399,895.3,42.70334,-77.19183,32,3,14,81,-162,3,0,6,12,-42,3.537,9.3,TRUE,FALSE,FALSE,1.3945
Mar 28 2026 18:29:38.499 UTC,1774736978.499,905.8,42.70333,-77.19184,29,3,34,106,-149,3,0,5,11,-42,3.537,19.8,TRUE,FALSE,FALSE,4.6460
Mar 28 2026 18:29:38.699 UTC,1774736978.699,954.1,42.70335,-77.19184,29,3,62,315,0,3,0,5,6,-34,3.537,68.1,TRUE,FALSE,FALSE,2.4750
Mar 28 2026 18:29:38.899 UTC,1774736978.899,1031.0,42.70339,-77.19185,18,3,87,413,-9,3,1,7,1,-34,3.537,145.0,TRUE,FALSE,FALSE,17.2094
Mar 28 2026 18:29:39.199 UTC,1774736979.199,1183.9,42.70348,-77.19187,11,3,114,541,-11,3,0,9,0,-34,3.537,297.9,TRUE,FALSE,FALSE,49.8255
Mar 28 2026 18:29:39.299 UTC,1774736979.299,1241.0,42.70351,-77.19188,11,3,119,550,-11,3,0,8,0,-34,3.537,355.0,TRUE,FALSE,FALSE,61.1552
Mar 28 2026 18:29:39.399 UTC,1774736979.399,1296.3,42.70354,-77.19189,11,3,116,540,-10,3,0,8,0,-34,3.537,410.3,TRUE,FALSE,FALSE,73.8514
Mar 28 2026 18:29:39.499 UTC,1774736979.499,1350.1,42.70357,-77.19189,11,3,112,524,-9,3,1,7,0,-34,3.537,464.1,TRUE,FALSE,FALSE,85.1827
Mar 28 2026 18:29:39.599 UTC,1774736979.599,1400.9,42.70360,-77.19190,11,3,106,506,-10,3,1,7,0,-34,3.537,514.9,TRUE,FALSE,FALSE,96.5145
Mar 28 2026 18:29:39.699 UTC,1774736979.699,1450.6,42.70363,-77.19191,11,3,102,487,-9,3,0,8,0,-39,3.537,564.6,TRUE,FALSE,FALSE,107.8456
Mar 28 2026 18:29:39.799 UTC,1774736979.799,1499.1,42.70366,-77.19192,11,3,102,474,-11,3,1,7,1,-39,3.537,613.1,TRUE,FALSE,FALSE,117.8101
Mar 28 2026 18:29:39.899 UTC,1774736979.899,1545.2,42.70369,-77.19192,11,3,98,458,-8,3,0,8,1,-39,3.537,659.2,TRUE,FALSE,FALSE,127.3965
Mar 28 2026 18:29:40.000 UTC,1774736980.0,1590.2,42.70372,-77.19193,11,3,95,443,-9,3,1,7,1,-39,3.537,704.2,TRUE,FALSE,FALSE,138.7287
Mar 28 2026 18:29:40.199 UTC,1774736980.199,1677.0,42.70377,-77.19194,8,3,89,418,-9,3,1,6,0,-39,3.537,791.0,TRUE,FALSE,FALSE,157.2810
Mar 28 2026 18:29:40.299 UTC,1774736980.299,1718.5,42.70379,-77.19194,9,3,88,405,-7,3,1,6,1,-39,3.537,832.5,TRUE,FALSE,FALSE,166.8798
Mar 28 2026 18:29:40.399 UTC,1774736980.399,1759.0,42.70382,-77.19195,10,3,84,393,-7,3,1,7,1,-39,3.537,873.0,TRUE,FALSE,FALSE,175.4677
Mar 28 2026 18:29:40.499 UTC,1774736980.499,1798.3,42.70384,-77.19195,14,3,85,381,-8,3,1,9,1,-39,3.537,912.3,TRUE,FALSE,FALSE,183.7042
Mar 28 2026 18:29:40.599 UTC,1774736980.599,1836.8,42.70387,-77.19196,16,3,82,372,-5,3,0,11,1,-39,3.537,950.8,TRUE,FALSE,FALSE,193.6620
Mar 28 2026 18:29:40.699 UTC,1774736980.699,1874.3,42.70389,-77.19196,16,3,80,361,-7,3,1,10,1,-56,3.537,988.3,TRUE,FALSE,FALSE,201.9057
Mar 28 2026 18:29:40.799 UTC,1774736980.799,1910.4,42.70391,-77.19196,16,3,80,349,-5,3,1,10,1,-56,3.537,1024.4,TRUE,FALSE,FALSE,210.4872
Mar 28 2026 18:29:40.899 UTC,1774736980.899,1946.0,42.70393,-77.19196,14,3,76,341,-5,3,2,8,0,-56,3.537,1060.0,TRUE,FALSE,FALSE,218.7360
Mar 28 2026 18:29:41.000 UTC,1774736981.0,1980.1,42.70396,-77.19197,16,3,76,330,-7,3,2,10,1,-56,3.537,1094.1,TRUE,FALSE,FALSE,227.3156
