UTCTIME,UNIXTIME,ALT,LAT,LON,#SATS,FIX,HORZV,VERTV,HEAD,FLAGS,>40,>32,>24,RSSI,BATT,Altitude AGL,Launch detection,Apogee detection,Landing detection,Distance (feet)
Jun 19 2026 00:24:53.499 UTC,1781846693.499,2933.9,31.04723,-103.52696,17,3,1,-1,77,3,1,0,1,-61,4.039,13.9,FALSE,FALSE,FALSE,28.5275
Jun 19 2026 00:24:53.599 UTC,1781846693.599,2933.5,31.04723,-103.52696,17,3,3,-3,155,3,1,0,0,-61,4.039,13.5,FALSE,FALSE,FALSE,28.5275
Jun 19 2026 00:24:53.699 UTC,1781846693.699,2933.0,31.04723,-103.52696,16,3,9,-1,141,3,1,0,0,-61,4.039,13.0,FALSE,FALSE,FALSE,28.3565
Jun 19 2026 00:24:53.799 UTC,1781846693.799,2932.8,31.04723,-103.52695,16,3,18,3,131,3,1,0,0,-61,4.039,12.8,TRUE,FALSE,FALSE,25.8733
Jun 19 2026 00:24:53.899 UTC,1781846693.899,2932.9,31.04723,-103.52695,18,3,29,6,126,3,1,0,0,-61,4.039,12.9,TRUE,FALSE,FALSE,23.3926
Jun 19 2026 00:24:54.000 UTC,1781846694.0,2933.0,31.04722,-103.52694,17,3,38,9,124,3,1,0,0,-61,4.039,13.0,TRUE,FALSE,FALSE,20.6484
Jun 19 2026 00:24:54.199 UTC,1781846694.199,2934.1,31.04721,-103.52692,16,3,49,11,122,3,1,0,0,-61,4.039,14.1,TRUE,FALSE,FALSE,13.2916
Jun 19 2026 00:24:54.299 UTC,1781846694.299,2933.9,31.04721,-103.52690,18,3,49,10,120,3,1,0,0,-61,4.039,13.9,TRUE,FALSE,FALSE,8.8085
Jun 19 2026 00:24:54.399 UTC,1781846694.399,2933.2,31.04720,-103.52689,17,3,46,7,122,3,1,0,0,-61,4.039,13.2,TRUE,FALSE,FALSE,7.1921
Jun 19 2026 00:24:54.499 UTC,1781846694.499,2932.3,31.04720,-103.52688,17,3,44,4,121,3,1,0,0,-61,4.039,12.3,TRUE,FALSE,FALSE,5.3918
Jun 19 2026 00:24:54.599 UTC,1781846694.599,2930.5,31.04720,-103.52687,18,3,50,3,114,3,1,0,0,-61,4.039,10.5,TRUE,FALSE,FALSE,6.0141
Jun 19 2026 00:24:54.699 UTC,1781846694.699,2928.2,31.04720,-103.52686,16,3,45,-3,116,3,1,0,0,-61,4.039,8.2,TRUE,FALSE,FALSE,8.8361
Jun 19 2026 00:24:54.799 UTC,1781846694.799,2924.6,31.04720,-103.52685,16,3,48,-10,107,3,1,0,0,-61,4.039,4.6,TRUE,FALSE,FALSE,10.5650
Jun 19 2026 00:24:54.899 UTC,1781846694.899,2919.9,31.04719,-103.52683,15,3,45,-22,100,3,1,0,0,-61,4.039,-0.1,TRUE,FALSE,FALSE,14.9282
Jun 19 2026 00:24:55.000 UTC,1781846695.0,2914.7,31.04720,-103.52682,14,3,45,-34,89,3,1,0,0,-61,4.039,-5.3,TRUE,FALSE,FALSE,16.2594
Jun 19 2026 00:24:55.099 UTC,1781846695.099,2908.6,31.04720,-103.52681,13,3,44,-44,82,3,1,0,0,-61,4.039,-11.4,TRUE,FALSE,FALSE,20.5327
Jun 19 2026 00:24:55.199 UTC,1781846695.199,2901.7,31.04721,-103.52680,13,3,42,-52,75,3,1,0,0,-56,4.039,-18.3,TRUE,FALSE,FALSE,22.6234
Jun 19 2026 00:24:55.299 UTC,1781846695.299,2894.4,31.04721,-103.52679,13,3,39,-59,69,3,1,0,0,-56,4.039,-25.6,TRUE,FALSE,FALSE,27.3352
Jun 19 2026 00:24:55.499 UTC,1781846695.499,2878.7,31.04723,-103.52677,13,3,37,-69,58,3,1,0,0,-56,4.039,-41.3,TRUE,FALSE,FALSE,32.6501
Jun 19 2026 00:24:55.599 UTC,1781846695.599,2871.4,31.04724,-103.52676,12,3,30,-69,53,3,1,0,0,-56,4.039,-48.6,TRUE,FALSE,FALSE,35.4129
Jun 19 2026 00:24:55.699 UTC,1781846695.699,2864.2,31.04724,-103.52676,12,3,27,-69,49,3,1,0,0,-56,4.039,-55.8,TRUE,FALSE,FALSE,38.2406
Jun 19 2026 00:24:55.799 UTC,1781846695.799,2856.9,31.04725,-103.52676,12,3,26,-69,47,3,1,0,0,-56,4.039,-63.1,TRUE,FALSE,FALSE,38.8460
Jun 19 2026 00:24:55.899 UTC,1781846695.899,2849.8,31.04725,-103.52675,11,3,25,-69,45,3,1,0,0,-56,4.039,-70.2,TRUE,FALSE,FALSE,41.7859
Jun 19 2026 00:24:56.000 UTC,1781846696.0,2841.8,31.04726,-103.52674,10,3,29,-71,37,3,1,0,0,-56,4.039,-78.2,TRUE,FALSE,FALSE,45.2877
Jun 19 2026 00:24:56.099 UTC,1781846696.099,2833.4,31.04727,-103.52674,10,3,30,-73,31,3,1,0,0,-56,4.039,-86.6,TRUE,FALSE,FALSE,46.7622
Jun 19 2026 00:24:56.199 UTC,1781846696.199,2825.0,31.04728,-103.52674,10,3,34,-74,20,3,1,0,0,-47,4.039,-95.0,TRUE,FALSE,FALSE,48.8042
Jun 19 2026 00:24:56.299 UTC,1781846696.299,2817.3,31.04729,-103.52673,10,3,27,-76,22,3,1,0,0,-47,4.038,-102.7,TRUE,FALSE,FALSE,51.9342
Jun 19 2026 00:24:56.399 UTC,1781846696.399,2809.3,31.04730,-103.52673,10,3,26,-77,20,3,1,0,0,-47,4.038,-110.7,TRUE,FALSE,FALSE,53.4619
Jun 19 2026 00:24:56.499 UTC,1781846696.499,2801.4,31.04730,-103.52673,10,3,26,-78,20,3,1,0,0,-47,4.038,-118.6,TRUE,FALSE,FALSE,57.0157
Jun 19 2026 00:24:56.599 UTC,1781846696.599,2793.3,31.04731,-103.52673,10,3,26,-78,17,3,1,0,0,-47,4.038,-126.7,TRUE,FALSE,FALSE,58.6772
Jun 19 2026 00:24:56.699 UTC,1781846696.699,2784.8,31.04732,-103.52673,11,3,28,-79,12,3,1,0,0,-47,4.038,-135.2,TRUE,FALSE,FALSE,60.8692
Jun 19 2026 00:24:56.799 UTC,1781846696.799,2776.9,31.04733,-103.52673,11,3,28,-78,16,3,1,0,0,-47,4.038,-143.1,TRUE,FALSE,FALSE,63.1775
Jun 19 2026 00:24:56.899 UTC,1781846696.899,2770.1,31.04734,-103.52672,10,3,24,-76,7,3,1,0,0,-47,4.038,-149.9,TRUE,FALSE,FALSE,66.3490
Jun 19 2026 00:24:57.000 UTC,1781846697.0,2760.9,31.04735,-103.52672,11,3,37,-77,31,3,1,0,0,-47,4.038,-159.1,TRUE,FALSE,FALSE,69.2467
Jun 19 2026 00:24:57.099 UTC,1781846697.099,2751.9,31.04736,-103.52671,11,3,42,-79,32,3,1,0,0,-47,4.038,-168.1,TRUE,FALSE,FALSE,73.9054
Jun 19 2026 00:24:57.199 UTC,1781846697.199,2743.0,31.04737,-103.52670,11,3,44,-80,33,3,1,0,0,-55,4.038,-177.0,TRUE,FALSE,FALSE,79.0923
Jun 19 2026 00:24:57.299 UTC,1781846697.299,2733.9,31.04739,-103.52670,11,3,45,-82,32,3,1,0,0,-55,4.038,-186.1,TRUE,FALSE,FALSE,84.3113
Jun 19 2026 00:24:57.399 UTC,1781846697.399,2724.6,31.04740,-103.52670,10,3,38,-87,23,3,1,0,0,-55,4.038,-195.4,TRUE,FALSE,FALSE,87.4802
Jun 19 2026 00:24:57.499 UTC,1781846697.499,2714.0,31.04741,-103.52669,10,3,37,-92,23,3,1,0,0,-55,4.038,-206.0,TRUE,FALSE,FALSE,92.2232
Jun 19 2026 00:24:57.599 UTC,1781846697.599,2702.3,31.04742,-103.52669,10,3,37,-98,24,3,1,0,0,-55,4.038,-217.7,TRUE,FALSE,FALSE,95.4961
Jun 19 2026 00:24:57.699 UTC,1781846697.699,2689.3,31.04743,-103.52668,8,3,36,-107,23,3,1,0,0,-55,4.038,-230.7,TRUE,FALSE,FALSE,99.7124
Jun 19 2026 00:25:01.399 UTC,1781846701.399,2534.3,31.04874,-103.52717,5,3,113,1,-21,3,1,0,0,-49,4.033,-385.7,TRUE,FALSE,FALSE,564.4895
Jun 19 2026 00:25:01.599 UTC,1781846701.599,2656.9,31.04884,-103.52726,5,3,118,47,-25,3,1,0,0,-49,4.033,-263.1,TRUE,FALSE,FALSE,604.6291
Jun 19 2026 00:25:01.799 UTC,1781846701.799,2951.6,31.04900,-103.52745,6,3,139,147,-28,3,1,0,0,-49,4.033,31.6,TRUE,FALSE,FALSE,675.5013
Jun 19 2026 00:25:04.699 UTC,1781846704.699,8727.3,31.05151,-103.53094,8,3,195,744,-47,3,1,0,0,-66,4.037,5807.3,TRUE,FALSE,FALSE,2022.0676
Jun 19 2026 00:25:04.799 UTC,1781846704.799,8906.5,31.05159,-103.53105,8,3,194,729,-46,3,1,0,0,-66,4.037,5986.5,TRUE,FALSE,FALSE,2064.2384
Jun 19 2026 00:25:04.899 UTC,1781846704.899,9070.6,31.05166,-103.53115,8,3,193,714,-46,3,1,0,0,-66,4.037,6150.6,TRUE,FALSE,FALSE,2103.8519
Jun 19 2026 00:25:05.000 UTC,1781846705.0,9230.4,31.05173,-103.53124,8,3,196,705,-46,3,1,0,0,-66,4.037,6310.4,TRUE,FALSE,FALSE,2140.8960
Jun 19 2026 00:25:05.199 UTC,1781846705.199,9531.3,31.05186,-103.53143,8,3,196,687,-46,3,1,0,0,-61,4.037,6611.3,TRUE,FALSE,FALSE,2213.9750
Jun 19 2026 00:25:05.299 UTC,1781846705.299,9664.8,31.05192,-103.53151,8,3,198,675,-46,3,1,0,0,-61,4.037,6744.8,TRUE,FALSE,FALSE,2248.4730
Jun 19 2026 00:25:05.399 UTC,1781846705.399,9791.0,31.05198,-103.53159,8,3,197,663,-46,3,1,0,0,-61,4.037,6871.0,TRUE,FALSE,FALSE,2282.4519
Jun 19 2026 00:25:05.499 UTC,1781846705.499,9910.8,31.05204,-103.53167,8,3,194,652,-46,3,1,0,0,-61,4.037,6990.8,TRUE,FALSE,FALSE,2313.8357
Jun 19 2026 00:25:05.599 UTC,1781846705.599,10021.0,31.05209,-103.53174,8,3,192,642,-45,3,1,0,0,-61,4.037,7101.0,TRUE,FALSE,FALSE,2343.1482
Jun 19 2026 00:25:05.699 UTC,1781846705.699,10127.3,31.05215,-103.53181,8,3,190,632,-45,3,1,0,0,-61,4.037,7207.3,TRUE,FALSE,FALSE,2371.9361
Jun 19 2026 00:25:05.799 UTC,1781846705.799,10265.6,31.05220,-103.53189,9,3,189,622,-45,3,1,0,0,-61,4.037,7345.6,TRUE,FALSE,FALSE,2405.4275
Jun 19 2026 00:25:05.899 UTC,1781846705.899,10393.0,31.05226,-103.53197,9,3,189,607,-45,3,1,0,0,-61,4.037,7473.0,TRUE,FALSE,FALSE,2436.8445
Jun 19 2026 00:25:06.000 UTC,1781846706.0,10511.6,31.05232,-103.53204,9,3,190,593,-44,3,1,0,0,-61,4.037,7591.6,TRUE,FALSE,FALSE,2468.2694
