# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,0.0064642,1.2930026,129.3559903,1.2930026,129.3559903,0,0,0,0,0,0,42.6,-77.2,9.803195,76.0811274,0,0,0,1318.096505,196.096505,0.1208687,0.0013578,NaN,60.8269169,NaN,0.0158407,379628.7217455,183.4267562,0.0015204,0.5860889,0.0181047,0.3396002,0.1264561,0.1200326,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0001388,7.874,48.6945887,90,0,5.2172361,13.23669,981.4335822,339.3203341,0.01,0.032029
# Event LIFTOFF occurred at t=0.02 seconds
0.02,0.0284814,3.1107134,181.8534491,3.1107134,181.8534491,0,0,0,0,0,0,42.6,-77.2,9.803195,59.558374,0,0,0,1316.8852534,194.8852534,0.1207098,0.0013577,NaN,60.7940685,NaN,0.018094,433628.6710393,252.4061771,0.0163687,0.5764798,0.149394,0.3298989,0.1265384,0.1200426,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0003339,7.874,48.6945887,90,0,5.2932684,13.2365469,981.4309999,339.3202474,0.01,0.034449
0.03,0.0685246,4.8981664,178.8165065,4.8981664,178.8165065,0,0,0,0,0,0,42.6,-77.2,9.8031949,47.6271937,0,0,0,1315.6921678,193.6921678,0.1205531,0.0013576,NaN,60.7616536,NaN,0.0214188,513308.8837643,248.2152667,0.0498028,0.5648897,0.3243765,0.3181793,0.1266507,0.1200596,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0005258,7.874,48.6945887,90,0,5.3693007,13.2362866,981.4263035,339.3200897,0.01,0.0361923
0.04,0.1263373,6.664577,176.705113,6.664577,176.705113,0,0,0,0,0,0,42.6,-77.2,9.8031948,39.2507282,0,0,0,1314.5073152,192.5073152,0.1203971,0.0013574,NaN,60.7294042,NaN,0.0253634,607837.6990843,245.26625,0.099715,0.5539067,0.4631659,0.3070498,0.1267733,0.1200836,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0007155,7.874,48.6945887,90,0,5.4453329,13.2359108,981.4195231,339.3198619,0.01,0.0403184
0.05,0.2017268,8.4135324,174.9539174,8.4135324,174.9539174,0,0,0,0,0,0,42.6,-77.2,9.8031946,33.274802,0,0,0,1313.3224626,191.3224626,0.1202409,0.0013573,NaN,60.6970967,NaN,0.0296577,710748.3247882,242.80875,0.1630847,0.5442726,0.5540267,0.2972611,0.1268971,0.1201143,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0009032,7.874,48.6945887,90,0,5.5213652,13.2354208,981.4106812,339.319565,0.01,0.0417157
0.06,0.2945201,10.1453072,173.2304945,10.1453072,173.2304945,0,0,0,0,0,0,42.6,-77.2,9.8031944,28.4426813,0,0,0,1312.1415476,190.1415476,0.1200849,0.0013572,NaN,60.6648384,NaN,0.0340034,814886.1595677,240.4039095,0.2378017,0.5362454,0.614565,0.2890803,0.1270148,0.1201503,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0010891,7.874,48.6945887,90,0,5.4953203,13.2348176,981.3997981,339.3191995,0.01,0.0432015
0.07,0.4046109,11.8730166,172.8179483,11.8730166,172.8179483,0,0,0,0,0,0,42.6,-77.2,9.8031941,24.7330341,0,0,0,1310.9763828,188.9763828,0.1199308,0.0013571,NaN,60.6329534,NaN,0.0385247,923229.2935072,239.7368333,0.3248286,0.5341655,0.6540019,0.2868414,0.1271311,0.1201929,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0012746,7.874,48.6945887,90,0,5.4692754,13.234102,981.3868863,339.3187658,0.01,0.0446703
0.08,0.5319902,13.6029785,173.0393588,13.6029785,173.0393588,0,0,0,0,0,0,42.6,-77.2,9.8031938,21.8088089,0,0,0,1309.8112181,187.8112181,0.1197764,0.0013569,NaN,60.6010117,NaN,0.0431796,1034768.2560737,239.9123095,0.423083,0.5343188,0.6780784,0.2868305,0.1272459,0.1202424,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0014603,7.874,48.6945887,90,0,5.4432305,13.2332741,981.3719468,339.3182641,0.01,0.0477563
0.09,0.67668,15.3351207,173.2540015,15.3351207,173.2540015,0,0,0,0,0,0,42.6,-77.2,9.8031934,19.4559445,0,0,0,1308.6460534,186.6460534,0.1196217,0.0013568,NaN,60.5690131,NaN,0.047931,1148616.9544894,240.0877857,0.5307101,0.5344759,0.6903091,0.2868181,0.1273591,0.1202987,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0016463,7.874,48.6945887,90,0,5.4171856,13.2323336,981.3549771,339.3176941,0.01,0.0492213
